global_step,CR/idle_time,CR/idle_time_cost,CR/makespan,CR/makespan_cost,CR/processing_time,CR/tard_cost,CR/total_cost,CR/total_tardiness,ETD/idle_time,ETD/idle_time_cost,ETD/makespan,ETD/makespan_cost,ETD/processing_time,ETD/tard_cost,ETD/total_cost,ETD/total_tardiness,FDD_over_MWKR/idle_time,FDD_over_MWKR/idle_time_cost,FDD_over_MWKR/makespan,FDD_over_MWKR/makespan_cost,FDD_over_MWKR/processing_time,FDD_over_MWKR/tard_cost,FDD_over_MWKR/total_cost,FDD_over_MWKR/total_tardiness,LWKR_MOD/idle_time,LWKR_MOD/idle_time_cost,LWKR_MOD/makespan,LWKR_MOD/makespan_cost,LWKR_MOD/processing_time,LWKR_MOD/tard_cost,LWKR_MOD/total_cost,LWKR_MOD/total_tardiness,LWKR_SPT/idle_time,LWKR_SPT/idle_time_cost,LWKR_SPT/makespan,LWKR_SPT/makespan_cost,LWKR_SPT/processing_time,LWKR_SPT/tard_cost,LWKR_SPT/total_cost,LWKR_SPT/total_tardiness,MWKR/idle_time,MWKR/idle_time_cost,MWKR/makespan,MWKR/makespan_cost,MWKR/processing_time,MWKR/tard_cost,MWKR/total_cost,MWKR/total_tardiness,PPO/idle_time,PPO/idle_time_cost,PPO/makespan,PPO/makespan_cost,PPO/processing_time,PPO/tard_cost,PPO/total_cost,PPO/total_tardiness
12,200,2.0,2900,290.0,21200,987.5,1703.5,19750,2300,23.0,3400,340.0,21200,385.0,1172.0,7700,0,0.0,2800,280.0,21200,1267.5,1971.5,25350,2200,22.0,3300,330.0,21200,477.5,1253.5,9550,2400,24.0,3500,350.0,21200,687.5,1485.5,13750,500,5.0,2800,280.0,21200,1367.5,2076.5,27350,2100,21.0,3400,340.0,21200,327.5,1112.5,6550
13,100,1.0,2400,240.0,17500,617.5,1208.5,12350,2000,20.0,2900,290.0,17500,245.0,905.0,4900,0,0.0,2300,230.0,17500,737.5,1317.5,14750,1700,17.0,2800,280.0,17500,257.5,904.5,5150,2500,25.0,2900,290.0,17500,467.5,1132.5,9350,500,5.0,2400,240.0,17500,767.5,1362.5,15350,3100,31.0,3100,310.0,17500,290.0,981.0,5800
14,100,1.0,2700,270.0,20800,1017.5,1704.5,20350,2600,26.0,3500,350.0,20800,577.5,1369.5,11550,0,0.0,2700,270.0,20800,1222.5,1908.5,24450,1900,19.0,3300,330.0,20800,537.5,1302.5,10750,3600,36.0,3500,350.0,20800,752.5,1554.5,15050,400,4.0,2700,270.0,20800,1337.5,2027.5,26750,1200,12.0,3100,310.0,20800,437.5,1175.5,8750
15,200,2.0,2300,230.0,16200,452.5,1008.5,9050,800,8.0,2600,260.0,16200,107.5,699.5,2150,200,2.0,2400,240.0,16200,602.5,1168.5,12050,1500,15.0,2800,280.0,16200,152.5,771.5,3050,3100,31.0,3000,300.0,16200,365.0,1020.0,7300,200,2.0,2200,220.0,16200,622.5,1168.5,12450,2000,20.0,2900,290.0,16200,132.5,766.5,2650
16,200,2.0,3100,310.0,23500,1272.5,2054.5,25450,2200,22.0,3500,350.0,23500,492.5,1334.5,9850,0,0.0,3000,300.0,23500,1647.5,2417.5,32950,2300,23.0,3600,360.0,23500,572.5,1425.5,11450,5200,52.0,3900,390.0,23500,882.5,1794.5,17650,300,3.0,3100,310.0,23500,1742.5,2525.5,34850,2500,25.0,3600,360.0,23500,547.5,1402.5,10950
17,100,1.0,2400,240.0,18800,837.5,1454.5,16750,1000,10.0,3100,310.0,18800,327.5,1023.5,6550,0,0.0,2400,240.0,18800,1007.5,1623.5,20150,2400,24.0,3100,310.0,18800,472.5,1182.5,9450,3100,31.0,3200,320.0,18800,562.5,1289.5,11250,400,4.0,2500,250.0,18800,1092.5,1722.5,21850,1600,16.0,2800,280.0,18800,415.0,1087.0,8300
18,0,0.0,2800,280.0,21200,1002.5,1706.5,20050,2000,20.0,3800,380.0,21200,395.0,1219.0,7900,0,0.0,2800,280.0,21200,1242.5,1946.5,24850,1500,15.0,3500,350.0,21200,527.5,1316.5,10550,3200,32.0,3600,360.0,21200,660.0,1476.0,13200,800,8.0,2800,280.0,21200,1377.5,2089.5,27550,1500,15.0,3200,320.0,21200,422.5,1181.5,8450
19,200,2.0,2400,240.0,18000,682.5,1284.5,13650,800,8.0,3000,300.0,18000,267.5,935.5,5350,300,3.0,2400,240.0,18000,797.5,1400.5,15950,1600,16.0,3100,310.0,18000,322.5,1008.5,6450,4100,41.0,3500,350.0,18000,497.5,1248.5,9950,300,3.0,2300,230.0,18000,862.5,1455.5,17250,1700,17.0,2800,280.0,18000,247.5,904.5,4950
20,300,3.0,2500,250.0,18900,772.5,1403.5,15450,1700,17.0,2900,290.0,18900,232.5,917.5,4650,0,0.0,2500,250.0,18900,872.5,1500.5,17450,2900,29.0,3300,330.0,18900,307.5,1044.5,6150,2200,22.0,3200,320.0,18900,392.5,1112.5,7850,400,4.0,2500,250.0,18900,967.5,1599.5,19350,3600,36.0,3400,340.0,18900,232.5,986.5,4650
21,200,2.0,2400,240.0,17200,582.5,1168.5,11650,1000,10.0,2900,290.0,17200,135.0,779.0,2700,100,1.0,2400,240.0,17200,692.5,1277.5,13850,1400,14.0,2800,280.0,17200,282.5,920.5,5650,4300,43.0,3200,320.0,17200,542.5,1249.5,10850,600,6.0,2400,240.0,17200,797.5,1387.5,15950,1500,15.0,2600,260.0,17200,207.5,826.5,4150
