time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/value_loss,train/clip_range,train/learning_rate,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
37,163,151552,-3.47321564,926,102.75,-0.07460393011569977,0.026481085,0.9397806860506535,-0.043848436391272116,0.2701904296875,360,0.004606864072138705,0.2,0.0003,-2.719955912604928,,
38,167,155648,-3.3944468800000003,926,101.89,-0.06312461942434311,0.025298163,0.9520736932754517,-0.04426027979352511,0.285693359375,370,0.003793827253866766,0.2,0.0003,-2.695092859491706,,
39,172,159744,-3.4044434300000006,927,102.31,-0.04249425232410431,0.024596944,0.9411127232015133,-0.042200175142352234,0.2661376953125,380,0.003986662817169417,0.2,0.0003,-2.6628971945494415,,
,,160000,,,,-0.030021842569112778,0.02457691,0.9510355107486248,-0.042287632826628396,0.273681640625,390,0.003354623128689127,0.2,0.0003,-2.6538410890847444,-3.5684266,100.8
40,176,163840,-3.38553816,926,102.58,,,,,,,,,,,,
41,181,167936,-3.3196740300000003,926,101.69,-0.06811144202947617,0.02690027,0.9584497921168804,-0.04067775203147903,0.309716796875,400,0.002876080524401914,0.2,0.0003,-2.603217624500394,,
42,185,172032,-3.27248096,927,100.66,-0.06296246498823166,0.027060973,0.9447620213031769,-0.039015061461395814,0.2763427734375,410,0.003200075772110722,0.2,0.0003,-2.6335331607609986,,
43,189,176128,-3.2438718,927,101.19,-0.05659707263112068,0.027942717,0.9506688006222248,-0.041569568384147715,0.2908203125,420,0.00394394640761675,0.2,0.0003,-2.600504994764924,,
,,180000,,,,-0.07391573488712311,0.027076617,0.9494805298745632,-0.03946473083342426,0.291259765625,430,0.003547166315456707,0.2,0.0003,-2.5638900596648453,-3.0581878,94.0
44,194,180224,-3.2366019399999995,926,100.72,,,,,,,,,,,,
45,199,184320,-3.2820978299999997,926,100.71,-0.06028693541884422,0.026068293,0.9375397078692913,-0.04360430887172697,0.2818115234375,440,0.003816624692626647,0.2,0.0003,-2.5381868951022626,,
46,203,188416,-3.277851810000001,926,99.58,-0.0735664963722229,0.027900819,0.9439114704728127,-0.04322690051048994,0.29794921875,450,0.004563515027075482,0.2,0.0003,-2.5235173478722572,,
47,207,192512,-3.2288725799999995,926,99.89,-0.08647240698337555,0.026830133,0.9626843445003033,-0.044913776612884246,0.29775390625,460,0.0037691865735723696,0.2,0.0003,-2.5100766371935608,,
48,212,196608,-3.15379546,926,100.07,-0.06036600098013878,0.028034598,0.9451497197151184,-0.037357794489435034,0.301953125,470,0.003987900784068188,0.2,0.0003,-2.4543222963809965,,
,,200000,,,,-0.054088931530714035,0.028148113,0.9577434994280338,-0.041009548606962196,0.291943359375,480,0.0030954082797507,0.2,0.0003,-2.463510227948427,-2.8865416,86.8
49,216,200704,-3.13546489,925,100.17,,,,,,,,,,,,
50,221,204800,-3.27164868,925,101.23,-0.060470886528491974,0.028592288,0.954894844442606,-0.03957353043879266,0.2933837890625,490,0.0031736278086100357,0.2,0.0003,-2.435178905725479,,
51,226,208896,-3.31760675,923,101.31,-0.04417360574007034,0.027198095,0.9657641313970089,-0.04253817374483333,0.28623046875,500,0.0036310483583292807,0.2,0.0003,-2.470506964251399,,
52,230,212992,-3.2351495600000004,922,100.99,-0.07920710742473602,0.030558739,0.9528160318732262,-0.045057965389969465,0.3028076171875,510,0.004685732567122613,0.2,0.0003,-2.3527326118201017,,
53,235,217088,-3.1067180799999994,923,100.73,-0.07683350890874863,0.029234543,0.957688182592392,-0.041633740949328056,0.2839111328125,520,0.0039041639241077066,0.2,0.0003,-2.3392762131989002,,
,,220000,,,,-0.07041507214307785,0.032295004,0.9459668546915054,-0.04284218750181026,0.305712890625,530,0.0036804208324610955,0.2,0.0003,-2.309930519387126,-2.88951,99.2
54,240,221184,-3.041975690000001,920,101.11,,,,,,,,,,,,
55,244,225280,-2.9967479599999995,920,99.89,-0.05998626723885536,0.028489854,0.959732074290514,-0.045549327796470605,0.287890625,540,0.0030034434796107233,0.2,0.0003,-2.3369987178593874,,
56,249,229376,-3.0661458300000004,920,100.42,-0.06693623214960098,0.027889134,0.9452310390770435,-0.04250893300559255,0.289013671875,550,0.003522901825908775,0.2,0.0003,-2.342051823437214,,
57,253,233472,-3.0003719500000003,921,100.1,-0.04830147698521614,0.028279997,0.9584207944571972,-0.041380961003596894,0.3062744140625,560,0.003919088947714045,0.2,0.0003,-2.348755356669426,,
58,257,237568,-2.9980828099999997,922,101.13,-0.0472060963511467,0.028642096,0.9365899935364723,-0.040725536422178264,0.303662109375,570,0.004114672313517076,0.2,0.0003,-2.328572703525424,,
,,240000,,,,-0.07107941806316376,0.030948259,0.9285750314593315,-0.03965092442231253,0.2966796875,580,0.0050605273133442095,0.2,0.0003,-2.3024830009788273,-3.1123134,102.4
59,262,241664,-3.07164498,920,100.9,,,,,,,,,,,,
60,266,245760,-3.1665284600000003,920,102.08,-0.06422611325979233,0.03121963,0.9577467814087868,-0.045197549826116304,0.307958984375,590,0.0037656898606655887,0.2,0.0003,-2.3517471428960564,,
61,271,249856,-3.165868739999999,921,101.92,-0.08741951733827591,0.030847818,0.9553008563816547,-0.040057565176539356,0.3050537109375,600,0.0040438767972773345,0.2,0.0003,-2.316373481228948,,
62,275,253952,-3.13271072,921,101.75,-0.06642978638410568,0.03097856,0.9482579194009304,-0.04400853261249722,0.291748046875,610,0.004002404955735983,0.2,0.0003,-2.3433498594909907,,
63,279,258048,-3.058822089999999,921,101.95,-0.07502835243940353,0.029713571,0.9646612070500851,-0.043333601289486975,0.3051025390625,620,0.0032366696606914045,0.2,0.0003,-2.276439222879708,,
,,260000,,,,-0.05250656232237816,0.029679336,0.9504899382591248,-0.03921479788441502,0.2971923828125,630,0.003818853173288517,0.2,0.0003,-2.3097208883613347,-2.7544836000000004,90.4
64,284,262144,-2.97666736,921,102.08,,,,,,,,,,,,
65,288,266240,-3.0068560399999997,921,102.21,-0.05806095153093338,0.032395896,0.9623970501124859,-0.04363589957501972,0.313818359375,640,0.0029191840634666733,0.2,0.0003,-2.308132091164589,,
66,293,270336,-3.03880559,922,102.32,-0.06098067760467529,0.029197194,0.9513833113014698,-0.04195228575190413,0.2942626953125,650,0.0035837983565215835,0.2,0.0003,-2.307457360252738,,
67,297,274432,-3.0567641400000003,922,102.45,-0.04976917430758476,0.029515594,0.9557159394025803,-0.0376196925957629,0.299365234375,660,0.0033558756324055137,0.2,0.0003,-2.233573283813894,,
68,302,278528,-3.0263520900000005,921,102.8,-0.055461280047893524,0.030502707,0.9494268819689751,-0.03984701947047142,0.294873046875,670,0.004045816352481779,0.2,0.0003,-2.280085361376405,,
,,280000,,,,-0.0778801292181015,0.029540665,0.9575662165880203,-0.037557956310774895,0.2819091796875,680,0.0034016454740594783,0.2,0.0003,-2.174615848250687,-3.28016,97.8
69,308,282624,-3.09871892,916,102.48,,,,,,,,,,,,
70,313,286720,-3.0907140199999996,914,101.17,-0.08171537518501282,0.029478315,0.9653792418539524,-0.04150776715978281,0.2997802734375,690,0.0027607740288658534,0.2,0.0003,-2.192813989892602,,
71,318,290816,-3.09514862,913,100.13,-0.051885250955820084,0.028855037,0.9633838832378387,-0.03899008848638914,0.2981201171875,700,0.0028754612130796886,0.2,0.0003,-2.15901503469795,,
72,323,294912,-3.0910932500000006,911,100.43,-0.054208625108003616,0.03247636,0.9357583522796631,-0.03954630086500401,0.3131591796875,710,0.005159984307738341,0.2,0.0003,-2.14324159771204,,
73,328,299008,-3.0930766700000003,910,101.73,-0.06544257700443268,0.030013468,0.9529137164354324,-0.039630382428731535,0.28837890625,720,0.0045510071861826875,0.2,0.0003,-2.1091655468568207,,
,,300000,,,,-0.039209526032209396,0.030113112,0.9561726748943329,-0.03521260135821649,0.3054931640625,730,0.003954193275603757,0.2,0.0003,-2.110623290389776,-2.5703206,93.6
74,333,303104,-3.0384360899999994,908,101.02,,,,,,,,,,,,
75,338,307200,-3.09242321,906,101.3,-0.0877545103430748,0.03037596,0.9581542313098907,-0.03994454027124448,0.30126953125,740,0.003351978541286371,0.2,0.0003,-2.0903732895851137,,
76,343,311296,-3.09303604,907,101.97,-0.06581903994083405,0.030459557,0.9535437226295471,-0.039927476063894574,0.297412109375,750,0.003940406041965616,0.2,0.0003,-2.0861447054892777,,
77,347,315392,-3.0666204400000003,907,101.91,-0.06917262077331543,0.031517453,0.9467148147523403,-0.03734759014332667,0.2921142578125,760,0.0035517910631824635,0.2,0.0003,-2.097544705122709,,
78,351,319488,-3.0242061200000006,908,102.31,-0.0536423921585083,0.0276421,0.9466734193265438,-0.03756628030969296,0.288671875,770,0.003578199882122135,0.2,0.0003,-2.0042084405198692,,
,,320000,,,,-0.07302486896514893,0.031152345,0.9615219980478287,-0.04249928230783553,0.3084716796875,780,0.00318589323615015,0.2,0.0003,-2.0212317384779452,-2.5064203999999997,91.6
79,357,323584,-2.9713915900000005,906,101.96,,,,,,,,,,,,
80,361,327680,-2.95206103,905,101.36,-0.07054559141397476,0.030276656,0.9272003397345543,-0.037313001577422254,0.29169921875,790,0.004586084810125612,0.2,0.0003,-1.9990452921018005,,
81,367,331776,-2.9253244499999997,903,100.28,-0.053426872938871384,0.031406395,0.9524676539003849,-0.04171754094386415,0.3122314453125,800,0.004196803533432103,0.2,0.0003,-1.9919712752103806,,
82,371,335872,-2.8882109,904,99.94,-0.09046448022127151,0.029087948,0.9638324789702892,-0.04082444537925767,0.3010009765625,810,0.0030389682632630866,0.2,0.0003,-1.9643445113673805,,
83,375,339968,-2.8683111799999996,904,101.56,-0.04801291972398758,0.030648215,0.9565358944237232,-0.039948060880124106,0.2989501953125,820,0.003772589547224925,0.2,0.0003,-1.90155210737139,,
,,340000,,,,-0.07893374562263489,0.027727958,0.9651562571525574,-0.04376980549677682,0.2966552734375,830,0.003374747248562926,0.2,0.0003,-1.8851153722032905,-2.4326734,89.4
84,381,344064,-2.88960238,902,101.59,,,,,,,,,,,,
85,386,348160,-2.8795595300000003,901,100.33,-0.08863219618797302,0.027907735,0.9603680856525898,-0.036277958225400656,0.2787841796875,840,0.0034774362094140087,0.2,0.0003,-1.9395375853404402,,
86,390,352256,-2.89964062,901,100.64,-0.03481990098953247,0.028393816,0.9463544189929962,-0.03776483681795071,0.27822265625,850,0.003402641562024655,0.2,0.0003,-1.8783044505864381,,
87,395,356352,-2.88309123,901,100.79,-0.050220150500535965,0.03413993,0.9563618525862694,-0.03827008443004161,0.303662109375,860,0.0028428637308024916,0.2,0.0003,-1.8611053623259068,,
,,360000,,,,-0.07434004545211792,0.030549083,0.9687596596777439,-0.03876121894281823,0.287353515625,870,0.0027229418587921828,0.2,0.0003,-1.8560330210253597,-2.5270046,92.2
88,400,360448,-2.8496347,899,101.0,,,,,,,,,,,,
89,405,364544,-2.8606998900000002,900,100.86,-0.06299735605716705,0.028410044,0.9355166032910347,-0.0340054109099583,0.2915283203125,880,0.003578398855188425,0.2,0.0003,-1.869852164015174,,
90,409,368640,-2.8323443,900,100.22,-0.055605851113796234,0.026424453,0.9602247327566147,-0.030567120456544215,0.272119140625,890,0.003190065338912973,0.2,0.0003,-1.7844173952937126,,
91,413,372736,-2.8665042599999997,901,100.8,-0.06164328008890152,0.025506824,0.957201175391674,-0.032538758611917726,0.26982421875,900,0.002876798229954147,0.2,0.0003,-1.8058498049154879,,
92,418,376832,-2.8655396599999996,899,101.32,-0.05353188514709473,0.032011136,0.9789596553891897,-0.03833488524032873,0.2972412109375,910,0.0020874278871815476,0.2,0.0003,-1.838140019401908,,
,,380000,,,,-0.04114466905593872,0.030683573,0.9591461382806301,-0.02921691315568751,0.2812744140625,920,0.0029131128535937025,0.2,0.0003,-1.7862870464101435,-2.0682008,88.6
93,424,380928,-2.845995629999999,898,101.84,,,,,,,,,,,,
94,428,385024,-2.84697227,898,101.66,-0.053163010627031326,0.030890577,0.9541575312614441,-0.03600839161372278,0.2888427734375,930,0.0033698760604238486,0.2,0.0003,-1.83787264470011,,
95,432,389120,-2.8171304800000003,899,100.02,-0.05291980132460594,0.02981108,0.9505643285810947,-0.03411161320545943,0.2864990234375,940,0.0031448835404262352,0.2,0.0003,-1.7890027299523354,,
96,437,393216,-2.78347567,898,99.62,-0.036518678069114685,0.030087594,0.9596768505871296,-0.03562994973481182,0.2869140625,950,0.003126810565117921,0.2,0.0003,-1.7578008156269789,,
97,442,397312,-2.77842899,898,99.51,-0.059910647571086884,0.033055656,0.9423100836575031,-0.032836266722006256,0.2979248046875,960,0.004332634827551374,0.2,0.0003,-1.7766604946926237,,
,,400000,,,,-0.06903252005577087,0.031111227,0.9545204117894173,-0.037577461214823416,0.2913330078125,970,0.0033817307504250492,0.2,0.0003,-1.7581899857148529,-2.2940788000000003,99.6
98,447,401408,-2.8456943199999993,897,100.85,,,,,,,,,,,,
99,451,405504,-2.8985969200000006,897,101.22,-0.05959876999258995,0.02919301,0.9414794482290745,-0.03447904434651718,0.2774658203125,980,0.003995535399462824,0.2,0.0003,-1.7676699694246054,,
100,455,409600,-2.87002765,898,101.15,-0.030009975656867027,0.030619703,0.96494534984231,-0.03906787663254363,0.3002197265625,990,0.0029318548978153557,0.2,0.0003,-1.7709967086091638,,
101,460,413696,-2.7626870900000005,898,100.69,-0.07413933426141739,0.027200632,0.9450549110770226,-0.03165531440681661,0.275146484375,1000,0.004233206629760389,0.2,0.0003,-1.7836946595460177,,
102,464,417792,-2.7522937300000008,899,101.4,-0.05902478098869324,0.030430801,0.9542300514876842,-0.03559464340796694,0.293505859375,1010,0.00295536721141616,0.2,0.0003,-1.7772100823000074,,
,,420000,,,,-0.03915226086974144,0.029724862,0.9720104578882456,-0.0395436527680431,0.27900390625,1020,0.002408341808586556,0.2,0.0003,-1.7618089569732547,-2.4057104000000002,92.2
103,469,421888,-2.7746429900000003,899,101.01,,,,,,,,,,,,
104,473,425984,-2.830723030000001,899,101.59,-0.05044260621070862,0.028522853,0.9705464150756598,-0.03647626226302236,0.2883544921875,1030,0.0023866860671660104,0.2,0.0003,-1.7656702641397715,,
105,477,430080,-2.8319800999999996,899,102.02,-0.08643949031829834,0.032653265,0.9704585261642933,-0.03928480090762605,0.3136474609375,1040,0.002212824623757115,0.2,0.0003,-1.7929825000464916,,
106,482,434176,-2.8176200199999992,900,102.54,-0.06477038562297821,0.029977696,0.958904966711998,-0.03430605297180591,0.275537109375,1050,0.0030039623879929422,0.2,0.0003,-1.738906190171838,,
107,486,438272,-2.8229499299999996,901,101.66,-0.07250843942165375,0.029598974,0.9611217901110649,-0.03633179761382053,0.290771484375,1060,0.0031725145912787412,0.2,0.0003,-1.7588973972946405,,
,,440000,,,,-0.04369170963764191,0.032496624,0.9603267386555672,-0.03582070152788219,0.2871337890625,1070,0.0028389700089519465,0.2,0.0003,-1.7552310883998872,-2.2868994000000002,87.4
108,491,442368,-2.8493369800000004,900,101.42,,,,,,,,,,,,
109,495,446464,-2.78510554,900,101.27,-0.04039018973708153,0.02828043,0.9523818381130695,-0.03647244047533604,0.2963623046875,1080,0.0037552983195382693,0.2,0.0003,-1.744947545789182,,
110,499,450560,-2.73986223,901,99.97,-0.04458417370915413,0.030405024,0.957882896065712,-0.03387808701154427,0.2836669921875,1090,0.0035542061937121616,0.2,0.0003,-1.6920811988413333,,
111,504,454656,-2.78008603,901,101.21,-0.03259113430976868,0.028457426,0.9628746397793293,-0.03424763559050916,0.283154296875,1100,0.003111375329717703,0.2,0.0003,-1.7305292980745435,,
112,508,458752,-2.7594034200000004,901,100.69,-0.07023721933364868,0.031900406,0.9650379493832588,-0.03582642652108916,0.311572265625,1110,0.0025930887922640975,0.2,0.0003,-1.7349982803687454,,
,,460000,,,,-0.07588840276002884,0.028721668,0.9596171863377094,-0.03132471350691048,0.278076171875,1120,0.0026422673922752438,0.2,0.0003,-1.7095537506043912,-2.4653653999999996,88.2
113,513,462848,-2.687227289999999,901,100.04,,,,,,,,,,,,
114,517,466944,-2.7044745500000005,902,99.75,-0.039199817925691605,0.030942023,0.9545652829110622,-0.03242869329369569,0.2824951171875,1130,0.003028566732245963,0.2,0.0003,-1.6788678854703902,,
115,521,471040,-2.73677482,903,100.46,-0.05699571967124939,0.03216072,0.9556103907525539,-0.032857436202903045,0.278955078125,1140,0.003386705798948242,0.2,0.0003,-1.681931745260954,,
116,525,475136,-2.7559791000000002,903,101.04,-0.05933940038084984,0.030108267,0.9685445800423622,-0.03591577396946377,0.29306640625,1150,0.0027320116240844073,0.2,0.0003,-1.6672947516664862,,
117,530,479232,-2.82418174,903,101.79,-0.08045200258493423,0.03141455,0.9528729543089867,-0.0364244826923823,0.2956298828125,1160,0.0037241348644784012,0.2,0.0003,-1.6849147345870734,,
,,480000,,,,-0.06711103022098541,0.033614755,0.9625582806766033,-0.040320732986583604,0.2996826171875,1170,0.0029884039474382005,0.2,0.0003,-1.6255595054477454,-2.4356888000000003,90.6
118,534,483328,-2.8265304700000002,903,101.9,,,,,,,,,,,,
119,539,487424,-2.78565356,903,101.29,-0.0627702847123146,0.02927568,0.9586080089211464,-0.03416222897940315,0.2757080078125,1180,0.0032807083198349574,0.2,0.0003,-1.6520119903609156,,
120,543,491520,-2.7340596200000005,903,101.12,-0.0438547283411026,0.02969592,0.9540319368243217,-0.03645835522620473,0.27978515625,1190,0.003424713490585418,0.2,0.0003,-1.6460530357435346,,
121,547,495616,-2.6897202299999994,904,100.47,-0.05162499472498894,0.029834762,0.9526445530354977,-0.03229235203034477,0.27548828125,1200,0.0034391566146950935,0.2,0.0003,-1.6653510022908449,,
122,552,499712,-2.74228774,904,101.54,0.002345163142308593,0.030552723,0.9574335776269436,-0.03462153260334162,0.2836181640625,1210,0.002587442433286924,0.2,0.0003,-1.6553755406290294,,
,,500000,,,,-0.06824972480535507,0.028403595,0.9601750075817108,-0.035577745972295814,0.2791748046875,1220,0.002591507922170422,0.2,0.0003,-1.6449602948501707,-2.427458,93.2
123,556,503808,-2.74815448,904,101.65,,,,,,,,,,,,
124,561,507904,-2.75606246,905,100.74,-0.04187806323170662,0.030017667,0.970443319529295,-0.03778107407051721,0.2940673828125,1230,0.002081520064984943,0.2,0.0003,-1.604100037738681,,
125,565,512000,-2.7577821199999994,905,100.55,-0.04207644239068031,0.030488707,0.965204980224371,-0.03610790333405021,0.2885986328125,1240,0.00252256500580188,0.2,0.0003,-1.6199868261814117,,
126,569,516096,-2.7628875699999997,905,101.54,-0.06021908298134804,0.032739848,0.9613065272569656,-0.03610304824323975,0.291162109375,1250,0.002868598004079104,0.2,0.0003,-1.6338335145264864,,
,,520000,,,,-0.040684930980205536,0.03356842,0.9563746191561222,-0.03486697179869225,0.2977783203125,1260,0.003276656571415515,0.2,0.0003,-1.6463654963299632,-2.5971430000000004,93.2
127,574,520192,-2.73416132,905,101.01,,,,,,,,,,,,
128,578,524288,-2.7428965700000005,905,102.13,-0.03166835755109787,0.029671557,0.9386332705616951,-0.035118798698385946,0.2813720703125,1270,0.004470604641664977,0.2,0.0003,-1.6442434063181282,,
129,583,528384,-2.72425486,906,102.24,-0.04781092330813408,0.02971983,0.9412832967936993,-0.03351628250675276,0.2825439453125,1280,0.003736068678426818,0.2,0.0003,-1.610754401050508,,
130,587,532480,-2.6765128300000005,906,100.91,-0.04969639331102371,0.02710326,0.9530514776706696,-0.0318195987447325,0.271435546875,1290,0.003487005638817209,0.2,0.0003,-1.6370827609673142,,
131,591,536576,-2.7253975300000004,907,101.03,-0.0649273693561554,0.031334035,0.9604926779866219,-0.035433105082120164,0.2881103515625,1300,0.0030589993484682054,0.2,0.0003,-1.6279827497899533,,
,,540000,,,,-0.04894239827990532,0.027545732,0.9680503495037556,-0.03427563856130291,0.2682861328125,1310,0.002658770917696529,0.2,0.0003,-1.6200565572828054,-2.6982008,94.0
132,596,540672,-2.75947712,906,101.68,,,,,,,,,,,,
133,600,544768,-2.75617958,907,101.5,-0.05839759111404419,0.029328026,0.9660635590553284,-0.033782189696648854,0.2802490234375,1320,0.002521010992450101,0.2,0.0003,-1.58570663202554,,
134,604,548864,-2.7489247800000003,907,101.11,-0.036009084433317184,0.029405154,0.953457597643137,-0.032001605383266,0.281396484375,1330,0.0035451618050501565,0.2,0.0003,-1.5859766153618693,,
