#{"t_start": 1708841459.9255948, "env_id": "scheduler-customEnv"}
r,l,t
-27.353745,139,0.942865
-66.61555,221,1.427814
-69.174336,216,2.060404
-87.937971,260,2.734645
-30.78482,143,3.061015
-48.426267,176,3.492726
-53.155566,185,3.917131
-76.957324,239,4.567821
-15.285131,113,4.825871
-68.743887,227,5.315192
-45.959821,172,5.725697
-38.545068,175,6.123403
-69.299678,220,6.680235
-63.473327,205,7.225898
-62.802573,210,7.674306
-43.209109,162,8.049665
-42.477709,165,8.4344
-35.754038,150,8.807193
-92.711414,275,9.425408
-45.924738,175,9.858983
-32.025117,139,10.157239
-4.025161,91,10.357733
-45.053323,173,10.803788
-38.237169,151,11.193324
-8.445365,113,11.424602
-32.775827,142,11.731119
-55.539807,186,12.198801
-10.596584,102,12.429942
-27.808044,132,12.789058
-35.251643,150,13.212293
-20.369398,124,13.507233
-63.581798,209,13.988172
-19.247401,120,14.271469
-27.693822,127,14.590307
-21.268358,125,14.978591
-55.272947,189,15.430974
-29.779908,134,15.710345
-29.533185,137,16.057334
-12.927502,110,16.291648
-27.249178,131,16.622394
-18.294406,118,16.966005
-8.453436,94,17.18973
-51.578437,192,17.90672
-88.416207,258,18.532227
-23.682936,128,18.840899
-21.452765,136,19.206242
-11.8585,96,19.422378
-25.47464,133,19.731255
-18.519492,114,20.065009
-71.625156,219,20.572039
-48.020882,177,21.133177
-13.737309,105,21.377197
-60.432762,192,22.271569
-59.606394,202,22.987069
-61.923815,202,23.634065
-37.472022,154,24.123638
-41.41833,158,24.679901
-30.975153,147,25.141277
-48.456706,176,25.622587
-37.759361,154,26.023902
-27.053786,127,26.362006
-39.428063,160,26.945748
-7.520985,97,27.216473
-43.327548,162,27.640569
-28.335255,137,28.022067
-42.890775,162,28.443404
-23.4875,123,28.822048
-35.333385,160,29.287527
-6.422396,100,29.66617
-3.866559,83,29.914297
-7.579692,98,30.161897
-35.640086,153,30.492946
-25.418875,129,30.934853
-9.39933,98,31.163432
