#{"t_start": 1708861041.4408882, "env_id": "scheduler-customEnv"}
r,l,t
-69.528408,226,0.733271
-41.605821,164,1.446596
-32.073974,155,1.895948
-48.897312,176,2.342722
-53.804741,189,2.852045
-40.972332,162,3.372757
-36.046747,152,3.742653
-59.948355,201,4.272031
-61.35889,227,4.799898
-140.915639,363,5.727967
-26.870905,126,6.024332
-22.108508,152,6.424652
-58.389527,205,6.908223
-106.493946,296,7.768103
-39.769823,174,8.203201
-72.981826,225,8.839043
-98.745149,269,9.760178
-127.864137,335,10.681329
-49.583402,178,11.100966
-54.584808,190,11.646911
-112.334203,310,12.430447
-36.017901,153,12.808318
-100.350636,275,13.516336
-34.293329,171,13.959398
-12.311205,118,14.341373
-33.240101,144,14.726725
-32.312769,156,15.088616
-39.853934,159,15.469264
-89.969413,259,16.247485
-45.261481,190,16.734415
-60.022435,196,17.237157
-42.379733,175,17.812378
-27.322701,134,18.093049
-33.75764,144,18.38454
-54.605017,191,18.792147
-17.579166,131,19.040699
-41.129975,164,19.464454
-25.916569,148,19.903921
-49.946979,182,20.314503
-64.753518,204,20.859722
-38.893846,160,21.27883
-9.39341,122,21.648801
-23.53621,125,22.000756
-52.262032,185,22.440163
-10.505161,102,22.671757
-50.638463,178,23.031262
-18.384248,130,23.361833
-23.984356,133,23.716417
-81.569444,254,24.409848
-104.735985,289,25.130635
-30.205518,155,25.488184
-8.203386,119,25.890073
-22.543757,128,26.349443
-37.325297,170,26.767373
-34.496184,144,27.211031
-22.46793,127,27.548831
-21.601765,122,27.842652
-13.093719,108,28.236942
1.664924,105,28.480342
-37.845358,158,28.964652
-5.688701,96,29.209504
-61.341234,209,29.709625
-15.62234,114,29.945718
-20.739232,119,30.354453
-20.020937,136,30.688545
-34.521847,144,31.063593
-13.526359,110,31.389043
-22.931501,138,31.691545
-16.825225,111,31.932247
-27.428997,135,32.325111
-35.828132,146,32.875949
-22.202604,146,33.234487
-35.024146,140,33.592732
-32.222914,154,33.928345
-34.610029,149,34.390487
-12.119812,102,34.637942
-23.835106,121,34.938163
-21.973658,121,35.253916
-16.732443,116,35.546273
-4.779542,104,36.008331
-41.155657,163,36.420871
-25.467147,131,36.666283
-24.268577,125,37.033994
-12.959033,122,37.343205
-13.364306,105,37.559374
-17.012121,116,37.847667
-26.971183,134,38.071486
-44.545679,181,38.504467
-40.98311,185,38.853536
-8.791987,93,39.238529
-30.921489,138,39.53167
-22.79143,131,39.94096
1.576657,91,40.171283
-5.697463,86,40.329091
-13.530343,105,40.623522
-15.514744,107,40.856467
-20.752397,121,41.173635
-7.079687,100,41.442538
-10.782133,100,41.70706
-63.577156,205,42.319067
-38.160496,154,42.690303
-14.457311,110,43.038045
-28.973945,160,43.350286
-21.225764,137,43.717193
-25.43925,133,44.058331
6.345294,80,44.29487
-21.52004,120,44.664432
-2.985119,83,44.957174
5.179457,80,45.215779
-12.372362,101,45.464551
-31.695238,147,45.86689
1.563733,75,46.021334
-21.060821,114,46.251758
-29.555672,134,46.591625
-26.372469,132,46.978765
-15.283922,108,47.188053
-15.84089,113,47.382422
-13.642333,107,47.663351
-5.781019,95,47.849213
-3.958207,86,48.090323
-7.036684,92,48.32845
-7.201854,120,48.829865
-5.916062,100,49.070007
-48.942148,186,49.583092
-67.283784,210,50.108614
-10.312326,102,50.410368
5.285789,69,50.601466
-15.702059,107,50.977788
-30.770787,134,51.260449
-9.62344,96,51.496675
-8.43521,101,51.726479
-14.88238,111,51.988276
-3.513518,94,52.261791
-73.939783,225,52.733491
-2.73055,101,53.040217
-10.126021,99,53.229996
-12.795191,104,53.495443
-43.476317,161,53.905789
-9.137022,94,54.108643
-20.944379,119,54.389461
-9.379671,100,54.648007
-23.40937,136,54.988476
-17.507159,122,55.266189
-57.255219,198,55.757176
-14.343222,113,56.136485
-18.358587,120,56.451237
-16.890242,108,56.765843
-18.106793,113,57.106737
-52.082711,184,57.568475
-8.843133,102,57.842957
-6.722321,97,58.092609
-19.14932,113,58.398434
-24.780565,123,58.715089
-24.001849,126,59.11998
-5.473951,103,59.413325
-51.700834,179,59.874324
-13.901786,103,60.118303
-11.617151,99,60.373845
-14.424011,112,60.658078
-7.583257,98,60.848072
-11.33667,106,61.052246
1.509749,77,61.301169
-19.278821,119,61.578549
-9.055309,94,61.749218
1.292957,77,61.907416
-52.613735,181,62.357069
4.884172,80,62.571632
-0.923836,84,62.808108
-9.756547,135,63.076675
2.303938,87,63.314859
-4.364725,81,63.540945
-7.645348,93,63.811463
-1.477005,84,64.04687
-4.899195,87,64.279974
-6.476494,91,64.517776
-5.157028,94,64.7921
0.514632,84,64.979711
-0.223359,94,65.205937
-6.755381,93,65.490913
-3.617157,79,65.741575
-25.400721,142,66.014041
1.82118,75,66.189103
-19.537958,120,66.487868
-10.353238,107,66.753239
4.709959,79,66.944302
-5.480755,98,67.229755
-26.874302,132,67.673232
6.290285,68,67.862852
-4.584526,91,68.129371
-6.345967,89,68.36208
-6.084465,93,68.557708
-4.916416,89,68.827857
-40.060767,168,69.523737
2.364486,92,69.774735
-5.706562,87,69.966259
9.801768,77,70.177783
0.061564,79,70.387225
-10.958591,100,70.655881
-30.440104,165,71.149188
-22.906781,128,71.438925
-9.282514,100,71.839728
-12.360542,105,72.102791
3.057107,76,72.272669
-7.703965,96,72.515278
-3.715278,93,72.750407
-8.147042,92,72.973233
-25.523924,125,73.276224
-1.697574,87,73.512875
4.545288,75,73.734909
-3.92701,92,73.950572
7.831314,85,74.173607
9.055988,88,74.340701
2.041953,80,74.556772
-2.01745,86,74.81726
-1.666618,92,75.067902
3.008878,78,75.286839
3.423568,82,75.49604
3.113962,76,75.896221
-6.072381,91,76.13199
-5.284283,102,76.381757
-2.269074,83,76.611504
8.705252,75,76.868956
7.148972,67,77.047681
6.081608,79,77.409068
9.093633,75,77.780403
-5.796585,85,77.951888
-9.097982,109,78.235564
-19.836725,114,78.548218
-16.022466,115,79.109306
2.840699,74,79.277121
0.874004,79,79.431983
0.896303,73,79.627809
3.322866,71,79.889621
-0.661613,78,80.080145
4.640893,83,80.23632
10.454701,68,80.377255
9.031187,68,80.495803
-2.747706,89,80.772997
-0.941065,82,80.992532
10.175554,64,81.151712
-2.170021,85,81.325614
-0.819194,74,81.469948
7.938144,73,81.684275
-2.851599,82,81.90484
10.108266,70,82.066367
-5.789899,82,82.235506
-8.728584,97,82.453822
4.691352,73,82.625419
-9.847767,98,82.879195
-4.187914,86,83.092991
-0.993596,81,83.31162
7.429738,84,83.49364
2.030937,71,83.684937
10.202396,68,83.832038
5.446302,87,84.078107
-18.392574,116,84.386429
2.13869,86,84.635875
5.54911,71,84.841153
2.96161,72,84.989286
9.560634,57,85.146417
3.318223,73,85.330286
11.123495,67,85.511368
6.931527,69,85.748063
-0.696839,75,85.87519
5.04872,67,86.098892
-2.374429,83,86.341063
-1.018335,89,86.572072
3.333167,72,86.768315
-2.305928,78,86.941019
5.640206,93,87.146161
3.640026,75,87.353604
8.005404,60,87.495027
8.807161,62,87.809242
3.931204,75,88.072336
