rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/time_elapsed,train/learning_rate,train/loss,train/clip_range,train/policy_gradient_loss,train/n_updates,train/value_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/clip_fraction,eval/mean_ep_length,eval/std_reward,eval/mean_reward
,,,,40000,,5e-05,1.2284945249557495,0.1,-0.0069963539979653435,90,3.21267855623737,0.0020812154,0.897404171526432,-2.596496395766735,0.0540283203125,77.2,9.104531727465416,-19.80963909991467
23.36755194,410,77.43,10,40960,99,,,,,,,,,,,,,
24.50166357,411,76.63,11,45056,109,5e-05,1.309643268585205,0.1,-0.006928885656816419,100,2.7816831252537666,0.0023960718,0.9071062430739403,-2.571230683475733,0.070703125,,,
26.70551596,412,77.24,12,49152,119,5e-05,1.6584503650665283,0.1,-0.005978853891429025,110,3.9794141676276924,0.0023745277,0.8982526883482933,-2.5532625891268252,0.0600341796875,,,
,,,,50000,,5e-05,0.35552799701690674,0.1,-0.006943167623467162,120,2.210912941535935,0.0022544318,0.9256441667675972,-2.5339124664664268,0.051318359375,76.5,11.250121254739076,-27.845746656902172
27.0533925,409,78.67,13,53248,130,,,,,,,,,,,,,
26.20192544,410,77.7,14,57344,139,5e-05,1.1836423873901367,0.1,-0.007100787651143037,130,1.740833619236946,0.0020345068,0.9407649859786034,-2.5393515564501286,0.0628662109375,,,
,,,,60000,,5e-05,0.9864289164543152,0.1,-0.005995470568814198,140,1.942354762647301,0.0019820547,0.9336560890078545,-2.5241287596523763,0.050146484375,82.9,15.828396115969992,-28.581405338846785
25.976709059999997,408,78.42,15,61440,150,,,,,,,,,,,,,
24.98702621,409,78.95,16,65536,160,5e-05,0.16178373992443085,0.1,-0.005855427425558446,150,1.2756857306230813,0.0017428268,0.9438205845654011,-2.515270820260048,0.0321533203125,,,
26.124810850000003,410,77.2,17,69632,169,5e-05,0.13430871069431305,0.1,-0.007803964411141351,160,1.1052586189936846,0.0024719266,0.9481441453099251,-2.5189104832708837,0.0725830078125,,,
,,,,70000,,5e-05,0.06864164024591446,0.1,-0.006682203012314858,170,1.0372066755313427,0.0021680114,0.9558094851672649,-2.512907810509205,0.07373046875,80.5,15.069546527937485,-16.928007153728633
27.058196420000005,408,77.79,18,73728,180,,,,,,,,,,,,,
27.30700376,409,77.52,19,77824,190,5e-05,0.7794143557548523,0.1,-0.006743951583484886,180,1.3289740192703903,0.0023308413,0.9502550587058067,-2.516043222695589,0.06181640625,,,
,,,,80000,,5e-05,0.11404279619455338,0.1,-0.00781427310721483,190,1.0447344010695816,0.0022778257,0.9495180994272232,-2.494363288581371,0.0630859375,78.3,17.01916772490412,-30.551792237477592
25.865491290000005,407,78.25,20,81920,201,,,,,,,,,,,,,
26.810328489999993,407,79.78,21,86016,210,5e-05,0.3232239782810211,0.1,-0.006712844319554279,200,0.9244750235695391,0.0022610882,0.9527293369174004,-2.5128925777971745,0.05087890625,,,
,,,,90000,,5e-05,0.14637678861618042,0.1,-0.006963793566683307,210,0.7345293599646538,0.002219014,0.9701350498944521,-2.5309812180697917,0.0569580078125,77.0,17.795884541130288,-12.017006315575387
28.78699879,406,79.11,22,90112,221,,,,,,,,,,,,,
28.35206291,407,78.55,23,94208,231,5e-05,0.15195070207118988,0.1,-0.00778280108479521,220,1.0116697850637137,0.0023787706,0.9605725184082985,-2.519923297315836,0.0656982421875,,,
28.03519595,408,78.53,24,98304,240,5e-05,0.1212766021490097,0.1,-0.0060603366058785465,230,0.9540914203040302,0.0019116271,0.9643718898296356,-2.50651660785079,0.0431884765625,,,
,,,,100000,,5e-05,0.06771212816238403,0.1,-0.008124693057106924,240,0.7817741114180535,0.0023471091,0.9707449525594711,-2.5060201421380044,0.059423828125,78.2,17.76240660650035,-15.049456695100133
28.69115842,406,79.09,25,102400,251,,,,,,,,,,,,,
28.731196849999996,407,78.57,26,106496,261,5e-05,0.40384814143180847,0.1,-0.007642899540951475,250,0.7226033228216693,0.0019119066,0.9693014211952686,-2.506874531507492,0.0592041015625,,,
,,,,110000,,5e-05,0.06134241074323654,0.1,-0.007417431706562639,260,0.7009884383995086,0.0020092644,0.9652810730040073,-2.499479815363884,0.0499267578125,73.4,25.557853064685332,-6.214213446866253
27.48816649999999,406,77.49,27,110592,272,,,,,,,,,,,,,
26.854304349999996,406,77.14,28,114688,281,5e-05,0.17803449928760529,0.1,-0.007175974539859453,270,0.6698635953944176,0.0019699535,0.9641055874526501,-2.5075715646147727,0.0443359375,,,
26.86766341,407,77.69,29,118784,291,5e-05,0.1102963462471962,0.1,-0.00768704259662627,280,0.6904248849488794,0.0019005996,0.9616941250860691,-2.5068662002682687,0.0507080078125,,,
,,,,120000,,5e-05,0.36220264434814453,0.1,-0.009164077604873455,290,0.6818263483699412,0.00221739,0.9618968740105629,-2.4830536134541035,0.059912109375,77.5,17.656465528474186,-3.705709817263093
27.24548271,406,78.64,30,122880,302,,,,,,,,,,,,,
27.578805659999997,406,78.48,31,126976,312,5e-05,0.07373097538948059,0.1,-0.008308426981966478,300,0.7779392742086202,0.0024406258,0.9619392119348049,-2.4864465698599814,0.07119140625,,,
,,,,130000,,5e-05,0.08174454420804977,0.1,-0.007567524634941947,310,0.7363652269355953,0.002054208,0.9586757086217403,-2.472594317048788,0.04970703125,75.2,14.752524288257295,-3.678043377406354
28.344817570000004,406,77.07,32,131072,322,,,,,,,,,,,,,
28.065360350000002,406,77.74,33,135168,332,5e-05,0.0701548382639885,0.1,-0.008658961127366638,320,0.5467895600479096,0.0022122015,0.9706591404974461,-2.4920249760150908,0.0740234375,,,
27.26620046,406,78.36,34,139264,342,5e-05,0.05731501430273056,0.1,-0.007857533926289762,330,0.6660233576782048,0.0021580956,0.9666711203753948,-2.481049074977636,0.0533935546875,,,
,,,,140000,,5e-05,0.061582304537296295,0.1,-0.008456703902993468,340,0.5369031676091254,0.0018835358,0.9548679776489735,-2.4691798605024813,0.0427734375,77.2,13.931677236873329,-5.495506719754238
27.02496369,406,78.09,35,143360,353,,,,,,,,,,,,,
29.36658351,406,76.77,36,147456,362,5e-05,0.0689043328166008,0.1,-0.007555781020346331,350,0.5873100920813158,0.001935934,0.9694880601018667,-2.471396218985319,0.0427490234375,,,
,,,,150000,,5e-05,0.1549198180437088,0.1,-0.009084347599127796,360,0.5026733719045297,0.0021370372,0.9757419843226671,-2.4842745870351792,0.0534912109375,77.6,16.661636526579418,-20.070055797815634
30.69226645,405,77.49,37,151552,373,,,,,,,,,,,,,
27.764653970000005,406,79.16,38,155648,383,5e-05,0.06848883628845215,0.1,-0.009144012510660104,370,0.5058469050331041,0.0022852202,0.9775696434080601,-2.471555510163307,0.06962890625,,,
27.051388770000003,406,78.02,39,159744,392,5e-05,0.06355385482311249,0.1,-0.009543568691151449,380,0.5516580492490902,0.0021702868,0.9611101150512695,-2.485109964758158,0.065185546875,,,
,,,,160000,,5e-05,0.10412348061800003,0.1,-0.00798548030143138,390,0.5417442900594324,0.0020691273,0.9670905955135822,-2.4650513008236885,0.04208984375,73.6,14.21919063083466,-5.058111279103057
27.82149214,405,77.65,40,163840,403,,,,,,,,,,,,,
27.216083630000004,406,78.54,41,167936,413,5e-05,0.07329820841550827,0.1,-0.010243555781926261,400,0.5431958119152114,0.0022143186,0.967234693467617,-2.46188540533185,0.069482421875,,,
,,,,170000,,5e-05,0.0929926261305809,0.1,-0.00939468403958017,410,0.5960489077493548,0.0022632526,0.9600087888538837,-2.4789562188088894,0.06025390625,77.8,20.66096355367589,-6.747520415597944
28.49086645,405,78.3,42,172032,424,,,,,,,,,,,,,
28.6617812,406,78.04,43,176128,433,5e-05,0.0675903856754303,0.1,-0.010755624001467368,420,0.4655159049667418,0.0027895495,0.9728184416890144,-2.473764131963253,0.1158203125,,,
,,,,180000,,5e-05,0.11116155982017517,0.1,-0.008717592796892859,430,0.5063307396369054,0.0021250087,0.9706211928278208,-2.484715388715267,0.071240234375,79.8,9.843301611525124,-6.6437933695808296
28.862107979999998,405,78.18,44,180224,444,,,,,,,,,,,,,
29.270144339999998,405,78.67,45,184320,454,5e-05,0.0793549120426178,0.1,-0.010066087087761844,440,0.49198250856716186,0.0025554802,0.96956099383533,-2.4495773181319236,0.0784912109375,,,
29.994869890000004,406,78.82,46,188416,463,5e-05,0.04322744533419609,0.1,-0.009480802221514751,450,0.4451255664229393,0.0024321491,0.9754945058375597,-2.4706106185913086,0.075146484375,,,
,,,,190000,,5e-05,0.07285621762275696,0.1,-0.010329721836023964,460,0.4601634335704148,0.002231161,0.9765971545130014,-2.4816610008478164,0.06572265625,79.3,15.932111694142888,-16.592959532871827
29.051759790000002,405,80.42,47,192512,474,,,,,,,,,,,,,
28.951104640000004,405,78.59,48,196608,484,5e-05,0.0531897097826004,0.1,-0.010633620761655038,470,0.3641766321612522,0.002534938,0.9805946014821529,-2.4852987714111805,0.0783203125,,,
,,,,200000,,5e-05,0.05459783971309662,0.1,-0.01061016637031571,480,0.4817500646691769,0.002190937,0.9762165304273367,-2.457772043347359,0.065283203125,76.0,19.608262548411847,6.5031818836927
30.20440918,405,76.07,49,200704,495,,,,,,,,,,,,,
29.629426740000003,405,77.2,50,204800,504,5e-05,0.03382999449968338,0.1,-0.010701860943299835,490,0.4729938765056431,0.0022448488,0.9759725295007229,-2.461475659161806,0.0727294921875,,,
29.510634990000003,406,79.83,51,208896,514,5e-05,0.08487129211425781,0.1,-0.011173451106151333,500,0.4403542645042762,0.00263737,0.9719551559537649,-2.4849283754825593,0.0830322265625,,,
,,,,210000,,5e-05,0.038821976631879807,0.1,-0.009713419009494828,510,0.41799370958469806,0.0024553454,0.9806594382971525,-2.478451048582792,0.0732666015625,75.7,11.940866692121142,-0.9673469089306795
29.84263379,405,79.87,52,212992,525,,,,,,,,,,,,,
29.612683739999998,405,77.83,53,217088,534,5e-05,0.07871782034635544,0.1,-0.009153990137565415,520,0.48956945692189036,0.0024131204,0.9669277109205723,-2.461641911417246,0.0638916015625,,,
,,,,220000,,5e-05,0.03790091723203659,0.1,-0.0112409918117919,530,0.46210357651580125,0.0026423149,0.9743066001683474,-2.4294184640049936,0.0794677734375,79.4,20.747754685294787,-2.663387558670037
29.91871301,405,78.02,54,221184,545,,,,,,,,,,,,,
29.261262199999997,405,78.34,55,225280,555,5e-05,0.26398587226867676,0.1,-0.01089618552578031,540,0.4394361549755558,0.0026167557,0.976478224620223,-2.430015739798546,0.0843017578125,,,
28.518328349999994,405,78.88,56,229376,565,5e-05,0.06392688304185867,0.1,-0.011276263462787029,550,0.40639212413225323,0.00260798,0.975550414994359,-2.4312660843133926,0.09638671875,,,
,,,,230000,,5e-05,0.025030246004462242,0.1,-0.01019808296186966,560,0.43330924939364196,0.0022510518,0.9713783152401447,-2.424015045911074,0.0748291015625,76.5,22.289244191889498,5.521826923484779
29.14940056,405,79.36,57,233472,576,,,,,,,,,,,,,
29.88069877,405,78.14,58,237568,585,5e-05,0.04985920712351799,0.1,-0.011921198485651985,570,0.4037126140203327,0.0027474104,0.9745255894958973,-2.4145645700395106,0.090185546875,,,
,,,,240000,,5e-05,0.027423441410064697,0.1,-0.012005531670729397,580,0.355903454660438,0.0024613463,0.9801640082150698,-2.4272674903273583,0.095166015625,77.8,13.200152509064935,-9.85429640532497
29.302414329999998,405,78.04,59,241664,596,,,,,,,,,,,,,
29.253335329999995,405,79.11,60,245760,606,5e-05,0.12825845181941986,0.1,-0.011792444180537131,590,0.4505479812156409,0.0027049829,0.9729138985276222,-2.417564529925585,0.08095703125,,,
29.75298599,405,78.82,61,249856,616,5e-05,0.028693776577711105,0.1,-0.010946286143735051,600,0.4238364767516032,0.002163325,0.973875654861331,-2.3990238532423973,0.068798828125,,,
,,,,250000,,5e-05,0.044825684279203415,0.1,-0.012731391251145396,610,0.37691292762756345,0.0023556256,0.9776199385523796,-2.429444396495819,0.083203125,70.9,9.781637170607274,23.40023055411698
29.309675719999994,405,78.87,62,253952,626,,,,,,,,,,,,,
30.420169910000006,405,78.17,63,258048,636,5e-05,0.02945200726389885,0.1,-0.010541641368035926,620,0.38175762791652235,0.0030638766,0.9740310534834862,-2.3971495151519777,0.09619140625,,,
,,,,260000,,5e-05,0.05585736036300659,0.1,-0.012879609577066731,630,0.39571694992482664,0.0029934072,0.9770981781184673,-2.386259201169014,0.101025390625,77.2,15.614123893859277,21.749059817289897
31.180837089999997,405,77.36,64,262144,647,,,,,,,,,,,,,
30.848490029999997,405,77.81,65,266240,656,5e-05,0.024922585114836693,0.1,-0.011195168251288124,640,0.38709506413433703,0.002597657,0.9823453016579151,-2.388836317509413,0.0956787109375,,,
,,,,270000,,5e-05,0.048415761440992355,0.1,-0.012268156486243242,650,0.3857679191511124,0.0026773992,0.9785912111401558,-2.4104951553046705,0.085107421875,75.7,16.197271912766915,22.098049014729526
30.369472859999995,404,78.32,66,270336,667,,,,,,,,,,,,,
30.575839499999997,405,77.44,67,274432,677,5e-05,0.05374792963266373,0.1,-0.013495847040758235,660,0.34731233937200157,0.0027793432,0.975082878023386,-2.3601269856095315,0.091064453125,,,
29.83070732,405,78.07,68,278528,686,5e-05,0.050039783120155334,0.1,-0.01246103101366316,670,0.3684726596344262,0.0025651557,0.9816796462982893,-2.3845006532967092,0.091796875,,,
,,,,280000,,5e-05,0.1292860060930252,0.1,-0.011413267673924565,680,0.37702586730010806,0.0025098338,0.9727016221731901,-2.4050351589918137,0.06982421875,77.3,11.582953368793381,29.214339197736116
29.351929629999994,405,78.44,69,282624,697,,,,,,,,,,,,,
30.869776380000005,405,77.53,70,286720,707,5e-05,0.017591694369912148,0.1,-0.012425504116981756,690,0.38771540943998845,0.0031123534,0.9762417934834957,-2.393842678517103,0.1087646484375,,,
,,,,290000,,5e-05,0.04371628537774086,0.1,-0.012972960980550851,700,0.32497964850626887,0.003039977,0.9844329077750444,-2.376663067936897,0.105029296875,76.2,13.757478522172908,17.15496527359773
31.161178649999997,404,77.35,71,290816,718,,,,,,,,,,,,,
31.620130349999997,405,77.69,72,294912,727,5e-05,0.0463716946542263,0.1,-0.011466096158983419,710,0.4495381987886503,0.00278551,0.9721461683511734,-2.358792198449373,0.0907958984375,,,
32.026144869999996,405,78.62,73,299008,737,5e-05,0.029816798865795135,0.1,-0.011729852319695056,720,0.35041508483700456,0.0028486983,0.982582813128829,-2.372211539000273,0.1158935546875,,,
,,,,300000,,5e-05,0.029733553528785706,0.1,-0.012147770659066737,730,0.31770264853257685,0.0028245633,0.983881514519453,-2.374049339443445,0.1009765625,79.4,14.463857163084667,23.49044587815543
31.582596600000002,405,79.49,74,303104,748,,,,,,,,,,,,,
30.911557749999993,405,79.3,75,307200,758,5e-05,0.0368489995598793,0.1,-0.012971596746137948,740,0.30864003407768903,0.003471036,0.9831344969570637,-2.3543292045593263,0.1033935546875,,,
,,,,310000,,5e-05,0.02756102755665779,0.1,-0.013629783211217727,750,0.31279222677694635,0.0031133713,0.980124544352293,-2.3297717347741127,0.112841796875,80.7,10.163791774587585,21.741841820203785
31.04949609,404,79.61,76,311296,769,,,,,,,,,,,,,
32.17982884,405,78.04,77,315392,778,5e-05,0.02808544598519802,0.1,-0.010965876032423693,760,0.4269702071789652,0.0027435184,0.9773668553680182,-2.3431403122842314,0.0886962890625,,,
30.932579819999997,405,78.05,78,319488,788,5e-05,0.04271133244037628,0.1,-0.012826898225466721,770,0.3453886468545534,0.0038266608,0.9826477002352476,-2.356187506020069,0.1199951171875,,,
,,,,320000,,5e-05,0.3065817952156067,0.1,-0.012753739697654965,780,0.37820272692479195,0.0031977426,0.9787048473954201,-2.364844647794962,0.106396484375,76.5,25.441330406788314,24.588684201890906
31.06445023,404,78.28,79,323584,799,,,,,,,,,,,,,
31.782944509999997,405,77.17,80,327680,808,5e-05,0.04084908589720726,0.1,-0.012864851399353939,790,0.2969136329018511,0.0031448733,0.9829335622489452,-2.3177944906055927,0.1033935546875,,,
,,,,330000,,5e-05,0.03450188413262367,0.1,-0.01315369489529985,800,0.3411233331542462,0.0033330307,0.9810538422316313,-2.305119313299656,0.11083984375,75.5,7.436987436396978,28.947356472213905
32.729556529999996,404,76.59,81,331776,819,,,,,,,,,,,,,
32.597857080000004,405,77.23,82,335872,829,5e-05,0.1804644763469696,0.1,-0.013254735842929221,810,0.41521921859821304,0.002987478,0.9797219689935446,-2.2894300371408463,0.1014892578125,,,
32.678542470000004,405,77.46,83,339968,838,5e-05,0.02392963133752346,0.1,-0.011905864071741235,820,0.3508931879187003,0.0029594065,0.9819724448025227,-2.3010433577001095,0.094091796875,,,
,,,,340000,,5e-05,0.04330698028206825,0.1,-0.012879274840815923,830,0.3192659491207451,0.0033538626,0.9827924519777298,-2.2959343239665033,0.1151611328125,82.0,12.583831636197667,24.356005261178883
31.61901997,405,78.36,84,344064,849,,,,,,,,,,,,,
31.063877159999997,405,78.73,85,348160,859,5e-05,0.03740958869457245,0.1,-0.013877983537531691,840,0.2923246009973809,0.0031813786,0.9837588183581829,-2.308656397461891,0.1251220703125,,,
,,,,350000,,5e-05,0.02424420416355133,0.1,-0.012597030533652288,850,0.3513380198273808,0.0027295777,0.9816633313894272,-2.3038563460111616,0.09775390625,71.2,5.247414323625735,31.75608028459563
31.595884820000002,404,78.5,86,352256,869,,,,,,,,,,,,,
32.42007049,405,78.86,87,356352,879,5e-05,0.06927220523357391,0.1,-0.013705736036718008,860,0.32697312674717977,0.0034088297,0.9791842214763165,-2.3047703839838505,0.112841796875,,,
,,,,360000,,5e-05,0.025347545742988586,0.1,-0.01223901802295586,870,0.3725457939784974,0.0031939163,0.9815517645329237,-2.2944078601896765,0.1102294921875,75.0,8.229490521356338,33.77923365651471
32.16069922,404,78.23,88,360448,890,,,,,,,,,,,,,
33.96654318,405,76.66,89,364544,899,5e-05,0.02759048528969288,0.1,-0.014840256366733228,880,0.3509383359225467,0.003311452,0.9788722358644009,-2.291416364908218,0.1037353515625,,,
34.37862944,405,76.71,90,368640,909,5e-05,0.03975765034556389,0.1,-0.01190392546923249,890,0.30326233224477617,0.003380097,0.9842273499816656,-2.2519757479429243,0.1330810546875,,,
,,,,370000,,5e-05,0.047228336334228516,0.1,-0.014519329327595188,900,0.3866003271192312,0.0034210347,0.9801541715860367,-2.267033416032791,0.12568359375,75.1,6.6723545441144925,28.934010481091754
32.0012853,404,78.01,91,372736,920,,,,,,,,,,,,,
32.32809936,405,78.22,92,376832,930,5e-05,0.035952188074588776,0.1,-0.01353963306391961,910,0.41547493924153966,0.0031959745,0.9701374173164368,-2.290334837883711,0.1005859375,,,
,,,,380000,,5e-05,0.038271937519311905,0.1,-0.014168578495446126,920,0.2877891276497394,0.0037736222,0.9875177936628461,-2.2768480502068997,0.1562255859375,73.9,8.739040163273462,31.611361642780814
32.890415700000005,404,78.15,93,380928,940,,,,,,,,,,,,,
33.62008491,405,78.1,94,385024,950,5e-05,0.034605130553245544,0.1,-0.01471416574131581,930,0.31584065525094046,0.0039016958,0.9798692092299461,-2.2784149505198004,0.1422119140625,,,
33.84286776,405,79.58,95,389120,960,5e-05,0.037583209574222565,0.1,-0.013111699277942535,940,0.3196846225415356,0.0033613662,0.9858370060101151,-2.231774841994047,0.115185546875,,,
,,,,390000,,5e-05,0.02352580428123474,0.1,-0.013245178792567458,950,0.33641963328700514,0.003453778,0.9809438437223434,-2.246892408281565,0.1208984375,78.6,8.362805131516097,28.932809130603005
33.53928745,404,80.0,96,393216,971,,,,,,,,,,,,,
34.296137040000005,405,77.74,97,397312,980,5e-05,0.020584717392921448,0.1,-0.012231742148287594,960,0.29097694910597055,0.0038795841,0.9866905473172665,-2.2211314417421817,0.132275390625,,,
,,,,400000,,5e-05,0.051297321915626526,0.1,-0.01457834207394626,970,0.3043218172038905,0.0038327281,0.9840486589819193,-2.241166137903929,0.1419921875,76.6,6.569719222007229,29.637242281343777
34.26331415999999,404,77.94,98,401408,991,,,,,,,,,,,,,
34.15507426999999,405,77.39,99,405504,1001,5e-05,0.027032218873500824,0.1,-0.014609136826766188,980,0.3217778162681498,0.0037733086,0.9839283209294081,-2.2446203358471393,0.1361083984375,,,
33.025323320000005,405,78.52,100,409600,1011,5e-05,0.012282222509384155,0.1,-0.013866372755728662,990,0.3038913412485272,0.0048849573,0.9819346815347672,-2.2478708922863007,0.1730712890625,,,
,,,,410000,,5e-05,0.039457887411117554,0.1,-0.013121838681399822,1000,0.3071682050358504,0.0033296882,0.9807337578386068,-2.254963853210211,0.1341064453125,76.3,7.3093865434350676,30.920807884543752
31.838030609999997,404,79.45,101,413696,1021,,,,,,,,,,,,,
33.02327559999999,405,78.49,102,417792,1031,5e-05,0.03215757757425308,0.1,-0.014625263206107774,1010,0.3901673029642552,0.0037084261,0.9783366080373526,-2.301320046186447,0.1233642578125,,,
,,,,420000,,5e-05,0.05707020312547684,0.1,-0.013421551200008253,1020,0.3926170219434425,0.00397096,0.9792362321168184,-2.264428499341011,0.1250732421875,82.5,8.911152224835291,24.453645833812207
33.55109256,404,78.81,103,421888,1042,,,,,,,,,,,,,
34.559639399999995,404,77.66,104,425984,1051,5e-05,0.011640995740890503,0.1,-0.015099253036169102,1030,0.29937521817628293,0.0035094253,0.9849247289821506,-2.2493726804852487,0.1291748046875,,,
,,,,430000,,5e-05,0.03376864641904831,0.1,-0.014228200766956434,1040,0.27376066023716705,0.004587137,0.9878926845267415,-2.2211161591112614,0.154052734375,78.3,8.562886798946929,24.48102278007237
34.084759340000005,404,77.93,105,430080,1062,,,,,,,,,,,,,
33.46744598,404,79.8,106,434176,1072,5e-05,0.01625431515276432,0.1,-0.015565991448238493,1050,0.26487431513378396,0.0041358406,0.9847431210801005,-2.2742865331470967,0.14345703125,,,
34.47738154,404,79.57,107,438272,1082,5e-05,0.010436376556754112,0.1,-0.013867003583436599,1060,0.2795326226041652,0.0038798326,0.985346894711256,-2.238465491682291,0.1511474609375,,,
,,,,440000,,5e-05,0.03318282589316368,0.1,-0.013057410875626374,1070,0.39854989550076425,0.0034955447,0.977858105674386,-2.240787286311388,0.1312744140625,78.5,5.878866679477959,30.472113872956005
33.292922049999994,404,79.78,108,442368,1093,,,,,,,,,,,,,
32.53496200000001,404,79.59,109,446464,1102,5e-05,0.05004555732011795,0.1,-0.013493212282264721,1080,0.4132093226769939,0.003531156,0.9777424037456512,-2.265399669855833,0.124560546875,,,
,,,,450000,,5e-05,0.04487025737762451,0.1,-0.014987958468373109,1090,0.3320836073486134,0.0041744234,0.9808109048753977,-2.2571350924670694,0.1388427734375,86.7,6.441713462772042,24.172067250851963
33.18083191,404,78.93,110,450560,1113,,,,,,,,,,,,,
34.34629449,404,77.45,111,454656,1123,5e-05,0.024834003299474716,0.1,-0.016065066264854978,1100,0.24807036584243178,0.0049425103,0.9878305280581117,-2.2636227324604987,0.17158203125,,,
34.42637399,404,77.1,112,458752,1132,5e-05,0.03166382759809494,0.1,-0.014281397448212375,1110,0.28858737462433054,0.0040288176,0.9850393859669566,-2.2522217363119124,0.1658203125,,,
,,,,460000,,5e-05,0.01768060214817524,0.1,-0.014717451907199575,1120,0.2934900555061176,0.004062336,0.9840196780860424,-2.2597574263811113,0.1364990234375,80.3,8.4981217310571,26.954269928133176
34.61814134,404,78.38,113,462848,1143,,,,,,,,,,,,,
35.76964412,404,78.14,114,466944,1153,5e-05,0.03892631083726883,0.1,-0.014123868112801575,1130,0.3470023184781894,0.0041065514,0.9794896915555,-2.267501100897789,0.124072265625,,,
,,,,470000,,5e-05,-0.0028013065457344055,0.1,-0.013315153487201314,1140,0.26173980911262335,0.0042640194,0.9869361203163862,-2.180667472630739,0.1489501953125,80.8,6.891110799901147,28.127195454957622
34.31973836,404,77.74,115,471040,1164,,,,,,,,,,,,,
33.24381879,404,78.49,116,475136,1174,5e-05,0.015841864049434662,0.1,-0.015201591207733145,1150,0.2752594246296212,0.004793466,0.9851856585592031,-2.230822668969631,0.1644775390625,,,
34.11462618,404,77.63,117,479232,1183,5e-05,0.04081106558442116,0.1,-0.013271218245790806,1160,0.34008658747188747,0.0041417615,0.9830988459289074,-2.213306414335966,0.138818359375,,,
,,,,480000,,5e-05,0.015702851116657257,0.1,-0.01237494057713775,1170,0.4404463359154761,0.0037080708,0.9789380691945553,-2.233333130180836,0.137158203125,76.2,9.734133654724788,30.78850051316659
34.87138467,404,77.83,118,483328,1194,,,,,,,,,,,,,
34.80020261,404,78.65,119,487424,1204,5e-05,0.028976641595363617,0.1,-0.015553520011599176,1180,0.3047024850151502,0.004974287,0.984240310266614,-2.1841820955276487,0.1642578125,,,
,,,,490000,,5e-05,0.012900885194540024,0.1,-0.014844763262954076,1190,0.24312112637562677,0.004650004,0.9868389284238219,-2.1983286827802657,0.1551025390625,79.7,7.512485226828827,29.954843013760275
34.18144711000001,404,79.14,120,491520,1215,,,,,,,,,,,,,
33.892248439999996,404,77.77,121,495616,1224,5e-05,0.027786221355199814,0.1,-0.015352653726222344,1200,0.34105435432866216,0.0047610556,0.9790029488503933,-2.187992285937071,0.1637451171875,,,
35.70339092,404,77.93,122,499712,1234,5e-05,0.04026728495955467,0.1,-0.014647648097889033,1210,0.3786030940362252,0.0036345287,0.9771900996565819,-2.2121646881103514,0.123828125,,,
,,,,500000,,5e-05,0.02692466787993908,0.1,-0.012722418981138617,1220,0.33918230010895056,0.0042367,0.9856319008395076,-2.155134793370962,0.13955078125,76.5,5.60181678521485,28.406119867869506
35.87997718,404,78.92,123,503808,1245,,,,,,,,,,,,,
34.07635967,404,78.34,124,507904,1254,5e-05,0.017255142331123352,0.1,-0.01363891942819464,1230,0.33145458044018594,0.004271129,0.9820713121443987,-2.2055820234119894,0.139453125,,,
