time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/clip_fraction,train/explained_variance,train/value_loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/loss,train/learning_rate,train/entropy_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length,eval/std_reward
32,115,65536,41.98117276,36.66,565,0.050146484375,0.443179190158844,23.076953753829002,0.007078781,310,-0.01244114424334839,9.893366813659668,5e-05,-1.5756682097911834,0.2,,,
33,119,67584,41.52820686999999,36.63,565,0.0056640625,0.40916329622268677,21.270948499441147,0.0034618876,320,-0.00752824867668096,10.715681076049805,5e-05,-1.5251489654183388,0.2,,,
34,123,69632,42.32928007999999,36.51,565,0.0265625,0.453952431678772,18.112138845026493,0.0065380167,330,-0.011313528024038533,7.763016223907471,5e-05,-1.5478786379098892,0.2,,,
,,70000,,,,0.023779296875,0.4878341555595398,15.139355339109898,0.0069970326,340,-0.010589697513205465,5.311820030212402,5e-05,-1.5368508774787188,0.2,33.71971916971917,36.6,6.7411129281790245
35,127,71680,43.25835302999999,37.08,562,,,,,,,,,,,,,
36,131,73728,44.81631383999999,37.62,562,0.008642578125,0.521057665348053,18.631244333088397,0.004196211,350,-0.008942532827495598,10.809576034545898,5e-05,-1.5270432319492102,0.2,,,
37,134,75776,45.17171948,37.53,562,0.0076171875,0.5507670640945435,16.420475950837137,0.0053561023,360,-0.00896252777929476,3.9191195964813232,5e-05,-1.5233423657715321,0.2,,,
38,138,77824,45.064039269999995,37.32,561,0.047509765625,0.6353601515293121,11.481556627899408,0.006931822,370,-0.01450403362250654,5.048600196838379,5e-05,-1.511580941081047,0.2,,,
39,142,79872,44.26477485,37.14,561,0.0119140625,0.563084214925766,11.861505893617869,0.004168804,380,-0.010546160000376403,2.7807672023773193,5e-05,-1.4861094653606415,0.2,,,
,,80000,,,,0.0236328125,0.5815912783145905,10.176780277490616,0.0059789866,390,-0.012731716441339812,4.9650750160217285,5e-05,-1.5113940674811601,0.2,32.0572046009546,36.3,10.500158405746182
40,146,81920,44.97709467,36.3,559,,,,,,,,,,,,,
41,150,83968,45.01387777,36.39,559,0.032421875,0.606376051902771,9.405364622175693,0.0076001063,400,-0.014429662466864102,5.602996826171875,5e-05,-1.5139438588172198,0.2,,,
42,154,86016,45.399479359999994,37.98,557,0.016943359375,0.625954806804657,8.689000768959522,0.004023128,410,-0.009713297366397455,4.734996318817139,5e-05,-1.555124692991376,0.2,,,
43,158,88064,46.22091264000001,37.89,557,0.009326171875,0.6216402947902679,10.510959591716528,0.0038495848,420,-0.011215933207859052,1.4986587762832642,5e-05,-1.558360706269741,0.2,,,
,,90000,,,,0.024462890625,0.6152840852737427,9.352931178361178,0.0064864876,430,-0.01338377257779939,3.0293195247650146,5e-05,-1.5373021066188812,0.2,49.775874125874125,36.9,3.9435096912135563
44,162,90112,46.90310908000001,37.62,554,,,,,,,,,,,,,
45,166,92160,47.40517314999999,38.1,553,0.02353515625,0.6753917932510376,7.088790675252676,0.006360473,440,-0.012308856510207989,2.744793176651001,5e-05,-1.5145285416394472,0.2,,,
46,170,94208,46.565767140000005,38.04,553,0.015966796875,0.6681641340255737,8.310643692687155,0.0052919956,450,-0.012849092994292733,3.157069444656372,5e-05,-1.5084962885826827,0.2,,,
47,174,96256,45.93306087999999,37.59,552,0.01982421875,0.6209384799003601,5.3835052665323015,0.0050435206,460,-0.01153856704113423,1.5154691934585571,5e-05,-1.4933879550546407,0.2,,,
48,178,98304,45.99630094,37.47,551,0.035009765625,0.7026964128017426,6.49808119609952,0.006703092,470,-0.015417147937841946,2.0877084732055664,5e-05,-1.517469533160329,0.2,,,
,,100000,,,,0.027392578125,0.5742494165897369,6.992164435237646,0.006646258,480,-0.014029331352503505,2.7634453773498535,5e-05,-1.5196670569479465,0.2,42.829425782550786,37.8,6.2995269665667974
49,182,100352,45.143040600000006,37.86,549,,,,,,,,,,,,,
50,186,102400,46.303648249999995,37.65,548,0.023583984375,0.6769638955593109,4.8718710787594315,0.004670731,490,-0.014257614004600327,0.8893555402755737,5e-05,-1.5073015686124562,0.2,,,
51,190,104448,47.47191624,37.89,548,0.03095703125,0.7118147909641266,5.918841548636555,0.008325559,500,-0.015451132254383992,2.906601905822754,5e-05,-1.4930552754551172,0.2,,,
52,194,106496,48.05033981000001,37.56,547,0.0318359375,0.7286279499530792,6.289324882999063,0.0062293406,510,-0.016677245145547203,1.748496174812317,5e-05,-1.4266126375645398,0.2,,,
53,198,108544,48.21035588999999,38.25,546,0.03974609375,0.767888993024826,4.152736596390605,0.0072958427,520,-0.017601086943614064,1.4145890474319458,5e-05,-1.4265691846609116,0.2,,,
,,110000,,,,0.022802734375,0.7348348796367645,4.722414709068834,0.005165618,530,-0.01448948008037405,0.9852093458175659,5e-05,-1.4575127657502889,0.2,51.9583530440148,37.5,4.085854530051592
54,202,110592,48.19198326000001,36.57,545,,,,,,,,,,,,,
55,206,112640,48.089666799999996,36.39,544,0.020263671875,0.6999778747558594,5.209918644279242,0.0046677594,540,-0.013874810207198607,1.4622026681900024,5e-05,-1.4300208996981383,0.2,,,
56,210,114688,48.76032087999999,37.2,544,0.030126953125,0.7314927875995636,4.7323057603091,0.006118417,550,-0.01720305129274493,1.2021870613098145,5e-05,-1.4184474792331456,0.2,,,
57,214,116736,48.82385972999999,37.83,544,0.0400390625,0.8229929804801941,3.0271531963720917,0.006007422,560,-0.01931434464058839,2.183171510696411,5e-05,-1.4173707224428653,0.2,,,
58,217,118784,49.472566439999994,37.44,544,0.058935546875,0.7541790157556534,4.004323942959308,0.008148984,570,-0.02014895817846991,0.9544479846954346,5e-05,-1.3854909501969814,0.2,,,
,,120000,,,,0.0263671875,0.7159640789031982,5.244268569722772,0.006805798,580,-0.017277267324971035,1.572625756263733,5e-05,-1.3711200948804616,0.2,52.10126123876124,36.3,2.047838711084111
59,221,120832,48.96219185999999,36.78,544,,,,,,,,,,,,,
60,225,122880,48.0464992,37.86,544,0.032861328125,0.7177391648292542,4.337899217754602,0.0075848443,590,-0.01819828479856369,1.0017670392990112,5e-05,-1.3394164949655534,0.2,,,
61,229,124928,49.19579959000001,38.19,544,0.034375,0.7271471619606018,4.197817087545991,0.00596786,600,-0.016207681462401525,1.0838667154312134,5e-05,-1.3584264066070317,0.2,,,
62,233,126976,49.768137870000004,37.95,543,0.03623046875,0.7119130790233612,4.386275919526815,0.0074298475,610,-0.019440684899745975,0.5994328260421753,5e-05,-1.3640780340880156,0.2,,,
63,237,129024,48.93149518999999,38.25,543,0.033251953125,0.7801628261804581,3.424824158847332,0.006536354,620,-0.017643863416742532,0.8660808205604553,5e-05,-1.3558679230511188,0.2,,,
,,130000,,,,0.060498046875,0.6442178189754486,4.0800509914755825,0.008317621,630,-0.019574124219070656,0.8615779876708984,5e-05,-1.3208342470228671,0.2,52.4029141610024,39.9,2.7991175704640328
64,241,131072,48.60591649999999,38.19,542,,,,,,,,,,,,,
65,245,133120,50.04038046000001,38.01,543,0.042578125,0.7853032797574997,2.937528089620173,0.0068829176,640,-0.018314280673803297,0.7791606187820435,5e-05,-1.2977300178259612,0.2,,,
66,248,135168,51.34798156,38.1,544,0.035693359375,0.7657573521137238,4.106155650503934,0.0065474547,650,-0.016165080832433888,0.8888622522354126,5e-05,-1.249054005369544,0.2,,,
67,252,137216,49.70539076,37.95,544,0.0640625,0.8077896237373352,2.845853510685265,0.008793978,660,-0.020955165733539616,0.41088876128196716,5e-05,-1.2514870341867208,0.2,,,
68,255,139264,49.162399510000014,38.49,544,0.04443359375,0.7547585517168045,2.9738530967384578,0.007558174,670,-0.019138327772088813,0.49782073497772217,5e-05,-1.260576656088233,0.2,,,
,,140000,,,,0.04296875,0.7608117759227753,3.034171680919826,0.006893281,680,-0.019377631320094225,0.4138856828212738,5e-05,-1.2529890187084676,0.2,50.165391012174105,38.4,3.9627141204965888
69,260,141312,50.08882369,38.85,542,,,,,,,,,,,,,
70,264,143360,50.79521142000001,37.71,542,0.066064453125,0.7955608814954758,2.7293433608487248,0.010160776,690,-0.025075638508133123,0.6080708503723145,5e-05,-1.2384171072393655,0.2,,,
71,268,145408,50.91496727999999,38.01,542,0.052001953125,0.8376585096120834,2.165482949279249,0.008316457,700,-0.018549946317216383,0.543063759803772,5e-05,-1.2445961441844702,0.2,,,
72,272,147456,49.913434069999994,38.34,542,0.049755859375,0.7580419778823853,3.405040277540684,0.008157015,710,-0.02037019819545094,0.5755971074104309,5e-05,-1.2293902385979891,0.2,,,
73,275,149504,50.48342768,38.91,541,0.043701171875,0.743238776922226,3.6528413316234944,0.005451748,720,-0.01725850755465217,0.8289726972579956,5e-05,-1.2382265001535415,0.2,,,
,,150000,,,,0.06083984375,0.8353762775659561,2.955791079439223,0.010806097,730,-0.02314835363213206,0.4076647162437439,5e-05,-1.2306704077869655,0.2,52.3649151706137,36.3,5.760675388885316
74,280,151552,51.770426580000006,38.46,541,,,,,,,,,,,,,
75,283,153600,49.50147070999999,38.49,541,0.06171875,0.7845854014158249,2.8447690710425375,0.0080160275,740,-0.02244162557544769,0.43340131640434265,5e-05,-1.2192814879119396,0.2,,,
76,287,155648,50.00985976,39.45,541,0.037353515625,0.6919003427028656,6.835089323297143,0.005244826,750,-0.016774583629739936,0.6948109865188599,5e-05,-1.2555969588458538,0.2,,,
77,291,157696,51.70557097,38.88,541,0.066650390625,0.8314340114593506,2.1097053857520223,0.010610623,760,-0.024569302320014686,0.3706137537956238,5e-05,-1.2485744025558234,0.2,,,
78,294,159744,50.37348951999999,36.39,541,0.0630859375,0.7701232731342316,3.3761906495317815,0.010064574,770,-0.024408853391651063,0.6248476505279541,5e-05,-1.2412912782281638,0.2,,,
,,160000,,,,0.069873046875,0.7584034353494644,3.225271412730217,0.009219958,780,-0.022409471492574086,0.6402803659439087,5e-05,-1.2271846167743206,0.2,52.70069461788212,37.8,5.340025417119083
79,298,161792,51.04269758000001,36.48,541,,,,,,,,,,,,,
80,302,163840,51.704999689999994,37.95,541,0.084912109375,0.8134941309690475,2.8366404425352814,0.011271372,790,-0.024793741064786445,0.5858619809150696,5e-05,-1.2229242980480195,0.2,,,
81,306,165888,51.739304530000005,38.46,541,0.06005859375,0.8042919784784317,3.291114180907607,0.0075979265,800,-0.020125328212452588,0.47788259387016296,5e-05,-1.2367632944136857,0.2,,,
82,310,167936,51.21446538000002,39.57,541,0.06123046875,0.8413293957710266,2.14483766714111,0.008044384,810,-0.021735852182609962,0.3924667537212372,5e-05,-1.2457644425332546,0.2,,,
83,313,169984,51.29538064000001,39.36,541,0.089794921875,0.8152816295623779,2.493047431856394,0.012542602,820,-0.027508931727788878,0.5735368728637695,5e-05,-1.243327870219946,0.2,,,
,,170000,,,,0.072509765625,0.7764226943254471,3.524924904294312,0.009531244,830,-0.023950497480109335,0.7481670379638672,5e-05,-1.228936256840825,0.2,53.03284736097237,36.3,3.6638969358434177
84,317,172032,51.159341190000006,37.59,541,,,,,,,,,,,,,
85,321,174080,51.290669799999996,36.93,541,0.059033203125,0.7741198986768723,3.0075561974197624,0.008763959,840,-0.020052089785167482,0.5051150918006897,5e-05,-1.203905203193426,0.2,,,
86,325,176128,51.84996800000001,37.8,541,0.070068359375,0.8117830902338028,2.9420982537791134,0.009229999,850,-0.024146550639125054,0.8694243431091309,5e-05,-1.1885415129363537,0.2,,,
87,328,178176,51.29562054000001,37.86,541,0.08125,0.8261436820030212,2.468584190122783,0.0115643,860,-0.02657717021065764,0.526053786277771,5e-05,-1.20326020270586,0.2,,,
,,180000,,,,0.066650390625,0.7341185808181763,5.077907098457217,0.00901003,870,-0.02043444742739666,0.812804639339447,5e-05,-1.2065069328993558,0.2,53.98596542346543,34.2,3.6573169193334913
88,332,180224,51.55642529000001,38.52,541,,,,,,,,,,,,,
89,336,182272,51.78818469000001,39.03,541,0.0740234375,0.8277760297060013,2.946523594856262,0.0097579695,880,-0.022262098311330192,1.0525370836257935,5e-05,-1.1906396552920342,0.2,,,
90,340,184320,51.46756678,37.92,541,0.0908203125,0.7995133846998215,2.6880486413836477,0.012320053,890,-0.0273646711721085,0.41230231523513794,5e-05,-1.188745265826583,0.2,,,
91,344,186368,51.54443062,36.66,541,0.066845703125,0.8136826455593109,2.9543167255818843,0.009667955,900,-0.022020623432763387,0.7501186728477478,5e-05,-1.183074212819338,0.2,,,
92,347,188416,52.36019872,36.72,541,0.06337890625,0.7560911178588867,3.0140774622559547,0.0098977,910,-0.026637269426646525,0.6127191185951233,5e-05,-1.2067916136235,0.2,,,
,,190000,,,,0.0697265625,0.8022234588861465,2.729226889461279,0.009629127,920,-0.025391649374796543,0.5977723002433777,5e-05,-1.1675579268485308,0.2,52.52042020479521,41.1,3.2649620173869307
93,351,190464,52.28068077000001,37.14,541,,,,,,,,,,,,,
94,355,192512,51.29786736000002,36.99,541,0.066259765625,0.7314167320728302,3.751395288109779,0.009560725,930,-0.02445825434551807,0.9203276634216309,5e-05,-1.1561507649719716,0.2,,,
95,359,194560,51.47450327999999,37.11,541,0.0767578125,0.7474391758441925,3.563639169745147,0.011061557,940,-0.02611145280970959,0.599690318107605,5e-05,-1.1482119884341955,0.2,,,
96,363,196608,51.95582353999999,37.86,541,0.076220703125,0.8067842423915863,2.7452477548271417,0.010425532,950,-0.024689770382246935,0.630553126335144,5e-05,-1.1226979026570916,0.2,,,
97,366,198656,50.94771615,37.62,542,0.10234375,0.8521484732627869,1.5573886909522117,0.012465546,960,-0.02991522713418817,0.20322425663471222,5e-05,-1.1454089745879172,0.2,,,
,,200000,,,,0.082666015625,0.7638140171766281,2.8040738420560958,0.011310402,970,-0.025137847250152844,0.6127536296844482,5e-05,-1.1300204779952765,0.2,52.61153429903429,38.1,4.191487070898664
98,370,200704,51.6097536,36.81,542,,,,,,,,,,,,,
99,373,202752,51.96456204000001,37.26,542,0.07177734375,0.8135466426610947,2.6080688981339337,0.009186171,980,-0.0235911102819955,0.5950087308883667,5e-05,-1.1418257720768452,0.2,,,
100,376,204800,51.192330870000006,37.14,543,0.080322265625,0.8152184188365936,2.4067917367443443,0.011032209,990,-0.024938161375030177,0.4698862135410309,5e-05,-1.14067819789052,0.2,,,
101,380,206848,51.88829009,36.6,544,0.07890625,0.7139345109462738,2.9977659065276385,0.009822629,1000,-0.024276895711955147,0.7150336503982544,5e-05,-1.1269846249371767,0.2,,,
102,383,208896,52.027922010000005,37.74,544,0.09248046875,0.8219327479600906,2.325101263821125,0.01134292,1010,-0.029341999330790715,0.42811089754104614,5e-05,-1.1512603297829629,0.2,,,
,,210000,,,,0.0916015625,0.8048595488071442,2.234526913240552,0.012759966,1020,-0.028798432950861753,0.5733646750450134,5e-05,-1.130692257732153,0.2,54.576890123765125,37.5,2.4877185582440178
103,387,210944,51.56409822,37.26,544,,,,,,,,,,,,,
104,390,212992,52.08486977,37.38,545,0.1078125,0.8286476731300354,2.4695120885036888,0.013043784,1030,-0.03210447707097046,0.5512179136276245,5e-05,-1.1459394499659539,0.2,,,
105,393,215040,52.27260857000001,37.86,546,0.0919921875,0.7945133000612259,2.3927960522472858,0.0134676825,1040,-0.027933165719150565,0.3613428771495819,5e-05,-1.156579427421093,0.2,,,
106,397,217088,51.997240680000004,37.86,546,0.066064453125,0.7365280389785767,4.199698733910918,0.01147226,1050,-0.02492915214097593,0.8898198008537292,5e-05,-1.1576377931982278,0.2,,,
107,400,219136,52.38174766999999,38.79,547,0.07880859375,0.8139160573482513,3.1267732664942742,0.011415578,1060,-0.02552135414298391,0.3882123529911041,5e-05,-1.170048613101244,0.2,,,
,,220000,,,,0.08779296875,0.806063249707222,3.034356381185353,0.012862937,1070,-0.028696036788460333,0.5400912761688232,5e-05,-1.1691888384521008,0.2,51.56775516150516,35.4,4.850942077062712
108,404,221184,52.04415023999999,37.35,547,,,,,,,,,,,,,
109,407,223232,50.88174784000001,37.17,548,0.0984375,0.8047505468130112,2.8972059220075606,0.012970349,1080,-0.03009007240907522,0.603192150592804,5e-05,-1.1534749407321214,0.2,,,
110,410,225280,51.989272989999996,38.37,548,0.081884765625,0.7689678370952606,3.3449187407270076,0.011630999,1090,-0.029356327481218615,1.0540398359298706,5e-05,-1.1566108386963605,0.2,,,
111,413,227328,52.92951973999999,38.67,549,0.115185546875,0.830563873052597,2.3912654357030987,0.01676071,1100,-0.032125642991741185,0.5540544986724854,5e-05,-1.1738368015736342,0.2,,,
112,417,229376,52.916423189999996,38.58,549,0.111083984375,0.7738141715526581,3.5975724877789617,0.016356573,1110,-0.02908514224982355,0.4863493740558624,5e-05,-1.1711256813257933,0.2,,,
,,230000,,,,0.106494140625,0.841835230588913,2.352431330829859,0.01564023,1120,-0.02878551172907464,0.8391578793525696,5e-05,-1.16083955578506,0.2,53.3521651959152,35.7,4.174314834238233
113,420,231424,52.71970697999999,38.37,549,,,,,,,,,,,,,
114,424,233472,52.39294812999999,38.49,550,0.1171875,0.8079204261302948,2.549044430628419,0.015689807,1130,-0.03169309857184999,0.576624870300293,5e-05,-1.1398688532412051,0.2,,,
115,427,235520,52.02360998000001,38.1,551,0.11484375,0.7959467023611069,2.5328230334445836,0.018523298,1140,-0.028135975077748298,0.331998735666275,5e-05,-1.1785284850746394,0.2,,,
116,430,237568,51.86757654000001,36.72,551,0.1095703125,0.8068085610866547,3.0309554724022747,0.012260826,1150,-0.029825063867610878,0.6600030660629272,5e-05,-1.1421961985528468,0.2,,,
117,433,239616,52.296134110000004,37.11,552,0.082568359375,0.7413870096206665,3.602223032899201,0.010990547,1160,-0.0245763617916964,0.819665253162384,5e-05,-1.131538051739335,0.2,,,
,,240000,,,,0.095458984375,0.8309567868709564,2.615416093543172,0.013985676,1170,-0.029070699334261006,0.3263413608074188,5e-05,-1.1950659673660993,0.2,54.23298796791444,36.6,5.772344036106894
118,437,241664,52.21482154,37.95,552,,,,,,,,,,,,,
119,441,243712,52.2867112,37.23,552,0.110498046875,0.7771656364202499,3.390468776598573,0.014410058,1180,-0.029189410859544296,1.0238935947418213,5e-05,-1.1799744095653295,0.2,,,
120,444,245760,52.56142001,37.98,553,0.1037109375,0.7964802235364914,2.827872221171856,0.014456585,1190,-0.030838259290976566,0.41092756390571594,5e-05,-1.1418307676911355,0.2,,,
121,447,247808,53.17980658999999,39.15,553,0.090478515625,0.8227732181549072,3.4391810152679683,0.01363541,1200,-0.03092693039216101,0.5365234613418579,5e-05,-1.1390265801921486,0.2,,,
122,451,249856,52.9444895,39.51,554,0.125439453125,0.8488693386316299,2.226354361511767,0.017734278,1210,-0.031756866609794085,0.40777912735939026,5e-05,-1.1504718583077191,0.2,,,
,,250000,,,,0.108203125,0.7955615818500519,2.6244391437619923,0.015578117,1220,-0.030794646520371317,0.3072173595428467,5e-05,-1.1463546436280012,0.2,50.91707094988345,42.9,5.259609102897522
123,454,251904,52.43054935,37.92,553,,,,,,,,,,,,,
124,458,253952,52.10122694,37.86,554,0.12470703125,0.8056389540433884,2.2179559264332056,0.018288177,1230,-0.03390099851239938,0.39424991607666016,5e-05,-1.1549703862518073,0.2,,,
125,461,256000,52.58185668000001,39.09,554,0.102001953125,0.8065904825925827,2.735051286779344,0.014909215,1240,-0.02883640657819342,0.6369330286979675,5e-05,-1.17351905554533,0.2,,,
126,464,258048,53.60906585000001,38.64,555,0.120166015625,0.8425465077161789,2.3541482778266074,0.016782474,1250,-0.0326962508392171,0.41799604892730713,5e-05,-1.1782055336982011,0.2,,,
,,260000,,,,0.1482421875,0.871331661939621,1.2360432754270732,0.020325046,1260,-0.03552607973542763,0.14162679016590118,5e-05,-1.1413079854100943,0.2,56.935125291375286,33.9,2.841304155671172
127,468,260096,53.42590782,38.61,555,,,,,,,,,,,,,
128,471,262144,53.24650659000001,37.89,555,0.124755859375,0.8262331485748291,1.829433882329613,0.018187266,1270,-0.03205009760131361,0.3104109764099121,5e-05,-1.1385654035955668,0.2,,,
129,475,264192,52.94120207,37.41,556,0.11572265625,0.8222210854291916,2.123319160938263,0.018000325,1280,-0.03316541970707476,0.27750301361083984,5e-05,-1.1165947902947664,0.2,,,
130,478,266240,53.357333239999996,37.32,556,0.096337890625,0.7368808388710022,3.2836964704096316,0.015146947,1290,-0.02491748779430054,0.6341845393180847,5e-05,-1.1407504623755813,0.2,,,
131,481,268288,53.34897233999999,36.69,557,0.117236328125,0.8386996984481812,2.0504283517599107,0.01611981,1300,-0.030655925784958526,0.43351244926452637,5e-05,-1.1397198460996152,0.2,,,
,,270000,,,,0.103515625,0.7668343335390091,2.605851629190147,0.015254439,1310,-0.032930351633694954,0.977744996547699,5e-05,-1.1503565311431885,0.2,52.32110233516484,40.5,3.4244771797395215
132,485,270336,53.56793054,36.15,557,,,,,,,,,,,,,
133,488,272384,53.48731095,37.23,557,0.10791015625,0.8140328824520111,2.570298817381263,0.01614364,1320,-0.030953415151452647,0.5508208274841309,5e-05,-1.1343810422345997,0.2,,,
134,491,274432,53.66573822,38.01,557,0.139501953125,0.8553403466939926,1.7349870813079178,0.021512315,1330,-0.036346929479623216,0.34918057918548584,5e-05,-1.1579166777431964,0.2,,,
