time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/n_updates,train/loss,train/learning_rate,train/entropy_loss,train/approx_kl,train/clip_fraction,train/clip_range,eval/mean_reward,eval/std_reward,eval/mean_ep_length
31,39.06,113,18.56765243,558,63488,-0.003527930477139307,0.8785570040345192,2.8303921768441795,300,2.0247786045074463,5e-05,-1.1836705889552832,0.0012453427,0.0193359375,0.1,,,
32,38.91,116,17.762999710000003,560,65536,-0.003612370502014528,0.9173351973295212,2.2799970975145696,310,0.8080491423606873,5e-05,-1.1947507794946433,0.0015912475,0.028955078125,0.1,,,
33,37.74,120,15.654530949999998,561,67584,-0.003485998108953936,0.881817564368248,2.5743680145591497,320,1.2216987609863281,5e-05,-1.2217468060553074,0.0012579805,0.010791015625,0.1,,,
34,38.22,123,17.24014451,563,69632,-0.0033155628756503575,0.8567293435335159,2.8647647771984337,330,0.78614741563797,5e-05,-1.1829500701278448,0.0010685809,0.016748046875,0.1,,,
,,,,,70000,-0.00469513357966207,0.8772349506616592,2.581750039383769,340,0.6211760640144348,5e-05,-1.18119399510324,0.0014561274,0.03779296875,0.1,7.082144349894705,10.24722454893157,39.0
35,37.89,127,17.87486545,560,71680,,,,,,,,,,,,,
36,39.15,131,16.05953441,560,73728,-0.0041159894310112575,0.8777455613017082,2.163612306676805,350,0.7048593163490295,5e-05,-1.2198708802461624,0.0014124716,0.0162109375,0.1,,,
37,39.75,135,16.33437074,559,75776,-0.0034345921343629016,0.8884871751070023,2.9812514817342164,360,1.0202254056930542,5e-05,-1.2112198494374753,0.0011694343,0.014990234375,0.1,,,
38,37.89,138,18.82564065,560,77824,-0.003940322966809617,0.8800574243068695,2.00120657030493,370,0.33356860280036926,5e-05,-1.1999153150245547,0.001310672,0.012109375,0.1,,,
39,38.16,142,19.5844453,561,79872,-0.005597519723232835,0.9040956124663353,2.283451129216701,380,0.4253542125225067,5e-05,-1.2132045231759547,0.0014106876,0.03935546875,0.1,,,
,,,,,80000,-0.005541974578954978,0.917340911924839,2.2492963714525103,390,0.5725550651550293,5e-05,-1.1851572308689355,0.0016498796,0.048046875,0.1,2.5535935165705475,14.860740190375632,38.1
40,38.28,146,18.87832658,559,81920,,,,,,,,,,,,,
41,38.07,149,18.54819543,560,83968,-0.003654385178379016,0.8926555886864662,2.2326752856373786,400,0.517681360244751,5e-05,-1.1721808440983295,0.0011640788,0.021923828125,0.1,,,
42,38.04,153,18.49969644,561,86016,-0.005011202708192286,0.8861850872635841,2.2158610083162786,410,0.41885286569595337,5e-05,-1.1663572000339628,0.0013222786,0.02880859375,0.1,,,
43,38.31,156,19.63758369,561,88064,-0.004429334730957635,0.9196585193276405,1.6696080249734222,420,0.3857596218585968,5e-05,-1.1858609680086374,0.0014573574,0.02890625,0.1,,,
,,,,,90000,-0.0045391455074423,0.918341301381588,1.8531393429264427,430,0.3041189908981323,5e-05,-1.1694854183122516,0.0013990719,0.019482421875,0.1,-7.708273567864863,18.628515765677562,38.1
44,38.07,160,17.65694201,560,90112,,,,,,,,,,,,,
45,37.62,164,16.38418891,560,92160,-0.004698409725097008,0.9122107550501823,1.9897165374830366,440,0.4966701567173004,5e-05,-1.1374827474355698,0.0010438954,0.014111328125,0.1,,,
46,38.22,167,18.510758159999998,561,94208,-0.005236840808720444,0.9043769985437393,1.9375246818177403,450,1.1547857522964478,5e-05,-1.1704152327030897,0.0013034785,0.02919921875,0.1,,,
47,38.46,171,19.22010106,560,96256,-0.005769158026669175,0.935248576104641,1.4365217985585332,460,0.4905818998813629,5e-05,-1.1650420950725675,0.001354441,0.024365234375,0.1,,,
48,37.59,175,18.92288782,560,98304,-0.005008536340028513,0.9207719936966896,1.4236216987483203,470,0.3265743553638458,5e-05,-1.16686836425215,0.0012987648,0.03125,0.1,,,
,,,,,100000,-0.006609123014641227,0.9244425073266029,1.8778803782537579,480,1.103718638420105,5e-05,-1.181480858847499,0.0014743451,0.03486328125,0.1,5.192790521200166,9.123047455408173,38.4
49,37.26,179,19.76265767,559,100352,,,,,,,,,,,,,
50,38.79,182,19.918931830000002,559,102400,-0.004581180888635572,0.9255480542778969,1.8826566589996219,490,0.42560577392578125,5e-05,-1.1584243465214967,0.0013452753,0.021044921875,0.1,,,
51,38.28,459,20.5930141,227,104448,-0.005598043482314097,0.9286162033677101,1.6637571467086674,500,0.30096933245658875,5e-05,-1.18702441342175,0.0014580915,0.040478515625,0.1,,,
52,37.86,462,20.38329518,230,106496,-0.008127332432195544,0.9206647276878357,1.3411924208514392,510,0.29992666840553284,5e-05,-1.1572767419740557,0.002068806,0.08017578125,0.1,,,
53,38.22,465,19.176376930000004,233,108544,-0.007009098552225623,0.9304320886731148,1.5921188390813767,520,0.4774913191795349,5e-05,-1.1772203654050828,0.0019574128,0.0548828125,0.1,,,
,,,,,110000,-0.005311875270854216,0.9157751426100731,1.47347344327718,530,0.3794534206390381,5e-05,-1.1808549800887704,0.0012576196,0.02880859375,0.1,5.650663111810511,8.837715962441697,36.3
54,38.76,469,18.90135138,235,110592,,,,,,,,,,,,,
55,37.83,607,20.355620610000003,185,112640,-0.004829338916169945,0.9163045063614845,1.3587818615138532,540,0.30638325214385986,5e-05,-1.1945812121033668,0.0013790003,0.030810546875,0.1,,,
56,37.11,611,21.259525699999994,187,114688,-0.006017733593762386,0.922635905444622,1.9204008240252732,550,0.5979551672935486,5e-05,-1.1613809686154126,0.0014423372,0.030517578125,0.1,,,
57,39.09,614,19.30295839,189,116736,-0.005826292962592561,0.9332453161478043,1.9056096838787198,560,0.7267303466796875,5e-05,-1.1544946337118744,0.0014187822,0.026025390625,0.1,,,
58,39.21,617,19.18759754,192,118784,-0.006893242512887809,0.9128676801919937,1.3942120334133505,570,0.5483473539352417,5e-05,-1.177300938218832,0.0018216029,0.056787109375,0.1,,,
,,,,,120000,-0.0066921244280820245,0.9466319270431995,1.256545167043805,580,0.37601056694984436,5e-05,-1.177374191582203,0.0014258705,0.042138671875,0.1,12.156339777755525,11.910833955372787,34.5
59,38.1,621,19.874653719999998,194,120832,,,,,,,,,,,,,
60,37.14,625,19.15118457,196,122880,-0.006758836400695145,0.9175140559673309,1.6904909210279584,590,0.33780527114868164,5e-05,-1.1623601036146283,0.0015983664,0.0369140625,0.1,,,
61,37.74,652,19.381727740000002,191,124928,-0.007173963346576784,0.9323274344205856,1.4670121435075998,600,0.3615070581436157,5e-05,-1.1573828116059304,0.0017898411,0.043359375,0.1,,,
62,38.97,656,19.51923544,193,126976,-0.007427110544813331,0.9268781170248985,1.5676944013684988,610,0.5581849813461304,5e-05,-1.1706099580973386,0.0018076919,0.054052734375,0.1,,,
63,38.76,659,18.5802473,195,129024,-0.006743198774347548,0.898445300757885,2.072093414887786,620,0.4372074007987976,5e-05,-1.1940086208283902,0.0014920434,0.04677734375,0.1,,,
,,,,,130000,-0.006333845994231524,0.8942184895277023,1.851760258153081,630,0.49239805340766907,5e-05,-1.1829857267439365,0.0014357957,0.033935546875,0.1,17.47729545171279,9.691019384440237,40.2
64,37.8,663,19.41421067,197,131072,,,,,,,,,,,,,
65,37.29,824,20.93466839,161,133120,-0.00794885659852298,0.9198413863778114,1.5509903168305754,640,0.47668880224227905,5e-05,-1.1565325271338225,0.0014808315,0.0427734375,0.1,,,
66,37.95,828,19.42935013,163,135168,-0.00838338917674264,0.9339921399950981,1.401159675605595,650,0.46883559226989746,5e-05,-1.1823908928781748,0.0018542971,0.057861328125,0.1,,,
67,38.43,831,18.89474163,165,137216,-0.008094010906643235,0.9210363477468491,1.5003108585253357,660,0.43790194392204285,5e-05,-1.1898697294294833,0.0018561878,0.05302734375,0.1,,,
68,38.55,834,20.053834860000002,166,139264,-0.007234635233180598,0.9443522058427334,1.279122639168054,670,0.2458082139492035,5e-05,-1.1618693765252828,0.0014906253,0.043310546875,0.1,,,
,,,,,140000,-0.007599888784170616,0.9448385983705521,1.154410417098552,680,0.32128673791885376,5e-05,-1.1908726397901774,0.0017991032,0.046337890625,0.1,17.83952796244021,5.147377653968213,37.5
69,38.01,1811,20.36473011,78,141312,,,,,,,,,,,,,
70,37.5,1814,20.00458724,78,143360,-0.007492822120548226,0.9214032590389252,1.4046945587731898,690,0.4050605297088623,5e-05,-1.1599635375663637,0.0017672171,0.045458984375,0.1,,,
71,37.68,1818,19.64047347,79,145408,-0.009737865976057946,0.9331069737672806,1.1593953492119908,700,0.24965348839759827,5e-05,-1.158312927559018,0.0023526347,0.080322265625,0.1,,,
72,38.52,1821,20.18332985,80,147456,-0.007897482579573989,0.9424577541649342,1.3682125587947667,710,0.29394790530204773,5e-05,-1.1789696749299765,0.0018060522,0.054541015625,0.1,,,
73,37.59,1824,21.66088163,81,149504,-0.008205985189852072,0.946838516741991,1.313739478494972,720,0.5340030193328857,5e-05,-1.1868945185095072,0.0016049447,0.046142578125,0.1,,,
,,,,,150000,-0.008235640428029,0.9461993426084518,1.2153118193149566,730,0.34695130586624146,5e-05,-1.1586977675557137,0.0017395876,0.04677734375,0.1,16.2799938833629,8.34188757865187,38.4
74,37.47,1829,20.963149029999997,82,151552,,,,,,,,,,,,,
75,37.92,1833,21.16119082,83,153600,-0.008139210588706192,0.9327831119298935,1.3906402482651175,740,0.6126059889793396,5e-05,-1.1399967566132545,0.0018806478,0.0666015625,0.1,,,
76,37.2,1837,21.984950649999995,84,155648,-0.0092758797632996,0.9418077543377876,1.31591562544927,750,0.7057499289512634,5e-05,-1.166335173510015,0.0020558094,0.0607421875,0.1,,,
77,38.31,1840,21.26780617,85,157696,-0.009192357389838434,0.9405788704752922,1.1718013295903802,760,0.15691912174224854,5e-05,-1.1723581053316594,0.0022722424,0.072021484375,0.1,,,
78,37.62,1843,20.143017019999995,86,159744,-0.008238004461600213,0.9355022981762886,1.150821790844202,770,0.23276308178901672,5e-05,-1.187714981287718,0.0020830987,0.062451171875,0.1,,,
,,,,,160000,-0.006426714589179028,0.918440081179142,1.6553537993691863,780,0.25337451696395874,5e-05,-1.1543931115418673,0.0016827913,0.054052734375,0.1,17.340527269090792,12.499760798767166,39.9
79,36.75,1847,21.77801492,87,161792,,,,,,,,,,,,,
80,38.13,1851,20.19221746,88,163840,-0.007086317923676688,0.9368356764316559,1.4359561154618858,790,0.49390092492103577,5e-05,-1.1688438450917602,0.0018972986,0.059423828125,0.1,,,
81,38.55,1854,20.15430535,89,165888,-0.008951671460818034,0.9477769136428833,1.2213431899435818,800,0.3158976137638092,5e-05,-1.1527868807315826,0.0023262776,0.06728515625,0.1,,,
82,36.51,1858,21.951625160000003,90,167936,-0.008640722070413175,0.935556635260582,1.4396984040737153,810,0.2359297126531601,5e-05,-1.1241301402449608,0.0015393384,0.041650390625,0.1,,,
83,37.05,1861,21.343241150000004,91,169984,-0.008271015381615144,0.9284802451729774,1.3930076447315514,820,0.3111104369163513,5e-05,-1.1206014327704907,0.0022561862,0.077685546875,0.1,,,
,,,,,170000,-0.00782857690792298,0.9366921484470367,1.236310577671975,830,0.3312208652496338,5e-05,-1.1147313691675662,0.001937051,0.063134765625,0.1,17.12481932820578,7.224695642243665,37.5
84,37.53,1865,21.466722530000002,92,172032,,,,,,,,,,,,,
85,37.23,1868,22.458803349999997,93,174080,-0.010720960730395745,0.952852375805378,1.04923062492162,840,0.31066709756851196,5e-05,-1.1391856197267771,0.0029279792,0.10751953125,0.1,,,
86,37.35,1872,22.17969451,94,176128,-0.009933721458946821,0.9434790425002575,1.1841683389618993,850,0.20448419451713562,5e-05,-1.1203270433470607,0.002378305,0.084716796875,0.1,,,
87,38.85,1875,18.972390160000003,95,178176,-0.008974061133631039,0.9319488033652306,1.4415656391531229,860,0.3284497559070587,5e-05,-1.1274699361994862,0.0019441079,0.0845703125,0.1,,,
,,,,,180000,-0.008641962130786851,0.9252070635557175,1.1998371127061547,870,0.1765652596950531,5e-05,-1.1513325195759534,0.0021530252,0.0705078125,0.1,21.207324381910524,5.8971048261098105,35.1
88,38.82,1879,20.06879047,95,180224,,,,,,,,,,,,,
89,38.88,1882,21.74381382000001,96,182272,-0.00853757528384449,0.9468583688139915,1.2603753976523877,880,0.3313963711261749,5e-05,-1.0992099206894637,0.0021391762,0.06630859375,0.1,,,
90,38.49,1885,21.537976209999997,97,184320,-0.010493733835755848,0.9534780345857143,0.9790752837434411,890,0.2561921179294586,5e-05,-1.1460591552779078,0.0023592953,0.086376953125,0.1,,,
91,37.53,1889,22.772597609999995,98,186368,-0.009011618176009506,0.9498970024287701,1.0346832452341914,900,0.3186729848384857,5e-05,-1.1199025264009834,0.0022435887,0.0884765625,0.1,,,
92,37.62,1892,22.511698999999993,99,188416,-0.00790461946380674,0.9556230492889881,1.0462916524149477,910,0.5054662823677063,5e-05,-1.1132444316521286,0.0021533086,0.08154296875,0.1,,,
,,,,,190000,-0.007253784440763411,0.941185899078846,1.3714484135620295,920,0.43303340673446655,5e-05,-1.1368793658912182,0.002263151,0.070556640625,0.1,21.651590128237604,2.782738412052232,38.4
93,37.53,1896,23.132743300000005,100,190464,,,,,,,,,,,,,
94,37.8,1900,23.18154353,101,192512,-0.008627953388349851,0.955902524292469,1.0137133599258958,930,0.3147994577884674,5e-05,-1.1106610743328929,0.0021610723,0.075634765625,0.1,,,
95,37.38,1903,22.860640720000003,102,194560,-0.008552311628227472,0.954920120537281,0.8853566837497056,940,0.28671374917030334,5e-05,-1.1143923707306385,0.0022115344,0.0763671875,0.1,,,
96,38.76,1907,22.507795270000003,103,196608,-0.00887512904810137,0.9479912519454956,1.1351046958006918,950,0.2988477051258087,5e-05,-1.1275849485769869,0.0025852446,0.099462890625,0.1,,,
97,38.73,1910,22.986486300000003,103,198656,-0.010991868313431042,0.9535079449415207,0.8335749042220414,960,0.2332884967327118,5e-05,-1.1233341779559851,0.0027426525,0.104443359375,0.1,,,
,,,,,200000,-0.010933934148488334,0.9519319906830788,1.028317972132936,970,0.3730551302433014,5e-05,-1.1050797410309314,0.0027814875,0.09443359375,0.1,26.452608905977705,8.4259960974402,33.3
98,38.28,1915,22.11663229,104,200704,,,,,,,,,,,,,
99,38.22,1918,21.63561213,105,202752,-0.009362791742023546,0.9349353462457657,1.3326232575811445,980,0.3066645860671997,5e-05,-1.1023716267198325,0.00266914,0.091455078125,0.1,,,
100,38.73,1922,21.675871970000003,106,204800,-0.00896475050249137,0.9390549436211586,1.2929695551283658,990,0.2586718797683716,5e-05,-1.1150237379595638,0.0023326087,0.0779296875,0.1,,,
101,37.86,1925,22.536068840000002,107,206848,-0.009873461933602811,0.954860907047987,0.9618678259663284,1000,0.29336056113243103,5e-05,-1.087133584357798,0.0028551845,0.111474609375,0.1,,,
102,36.69,1929,23.960343330000004,108,208896,-0.009322744370729196,0.9564269371330738,1.164109549485147,1010,0.27542269229888916,5e-05,-1.0939149307087064,0.0028138068,0.085498046875,0.1,,,
,,,,,210000,-0.009565755829680712,0.952543456107378,1.113403258752078,1020,0.23867352306842804,5e-05,-1.0954220747575163,0.0029430073,0.119677734375,0.1,25.67670117092471,6.748122435160213,40.5
103,37.44,1933,23.201040660000007,109,210944,,,,,,,,,,,,,
104,38.88,1936,22.959585129999997,109,212992,-0.009998199468827806,0.9506979547441006,0.9830501369200647,1030,0.20501598715782166,5e-05,-1.1040188664570452,0.00285014,0.10009765625,0.1,,,
105,37.8,1940,22.823587309999994,110,215040,-0.008997183705650969,0.9593414142727852,0.8741303809918464,1040,0.12588396668434143,5e-05,-1.089292086660862,0.0023850217,0.09169921875,0.1,,,
106,36.81,1944,23.05505665,111,217088,-0.008820377458323491,0.9502210319042206,1.1211878355592488,1050,0.3472699224948883,5e-05,-1.0867447664961218,0.0025333199,0.080517578125,0.1,,,
107,36.81,1948,22.981168960000005,112,219136,-0.011869239805673715,0.9588276147842407,0.8941073563881219,1060,0.1438332051038742,5e-05,-1.1052306858822702,0.0032035755,0.116357421875,0.1,,,
,,,,,220000,-0.012126156301383162,0.9613256901502609,0.7686565761920064,1070,0.1723211258649826,5e-05,-1.0636494876816869,0.0029095863,0.140673828125,0.1,25.593698303379536,6.639815648283245,39.9
108,37.2,1952,22.742941269999996,113,221184,,,,,,,,,,,,,
109,36.99,1956,23.03973187,114,223232,-0.010516991652548314,0.9468296729028225,1.2611245221458376,1080,0.41569510102272034,5e-05,-1.0892191587015987,0.002519234,0.1001953125,0.1,,,
110,37.65,1959,23.132564639999995,114,225280,-0.007714414270594716,0.9365800842642784,1.2820733357220888,1090,0.18780791759490967,5e-05,-1.0893401017412543,0.002078098,0.06982421875,0.1,,,
111,38.28,1962,22.81070858,115,227328,-0.009982913467683829,0.9537860862910748,0.9987278007902205,1100,0.2448732703924179,5e-05,-1.0674173690378665,0.002429899,0.095947265625,0.1,,,
112,37.92,1966,23.193744739999993,116,229376,-0.009309220486466074,0.9495469890534878,0.9467414597049355,1110,0.27176326513290405,5e-05,-1.0914497546851636,0.0027866259,0.10361328125,0.1,,,
,,,,,230000,-0.01074115004594205,0.9535966441035271,1.0144061881117523,1120,0.32617464661598206,5e-05,-1.0684279309585691,0.0029096124,0.122412109375,0.1,27.026177555012275,7.279439135969916,36.6
113,37.89,1970,22.91824217,117,231424,,,,,,,,,,,,,
114,37.2,1973,23.357833270000004,118,233472,-0.011397190898424014,0.9548229947686195,0.8054337940178812,1130,0.28064101934432983,5e-05,-1.0588560715317725,0.0033608289,0.12177734375,0.1,,,
115,36.9,1976,23.806691660000002,119,235520,-0.011316141475253972,0.9540203623473644,1.0206673808395863,1140,0.21535715460777283,5e-05,-1.0571220202371479,0.0029903287,0.1189453125,0.1,,,
116,37.44,1980,22.36405716,119,237568,-0.010128299652569695,0.9561161659657955,0.9802134096622467,1150,0.21250909566879272,5e-05,-1.0440063012763858,0.0026903832,0.102197265625,0.1,,,
117,38.13,1983,22.420115200000005,120,239616,-0.009979837359242082,0.9510493651032448,0.8979596809484065,1160,0.15167617797851562,5e-05,-1.075466177240014,0.0023982157,0.1150390625,0.1,,,
,,,,,240000,-0.009050341183319687,0.951795969158411,1.2935567979700864,1170,0.39404183626174927,5e-05,-1.0392255138605833,0.002317316,0.087890625,0.1,25.49035447190075,6.353327797545734,42.0
118,37.08,1987,25.019871680000005,121,241664,,,,,,,,,,,,,
119,37.65,1990,24.09008853,122,243712,-0.01177866660291329,0.9500651732087135,1.0629551473073662,1180,0.20608004927635193,5e-05,-1.039837235212326,0.0030612545,0.09853515625,0.1,,,
120,38.37,1993,22.331503079999997,123,245760,-0.012057948156143538,0.9596270993351936,0.9065622908994555,1190,0.1780039519071579,5e-05,-1.0604098657146097,0.0033681025,0.131787109375,0.1,,,
121,37.38,1997,23.70237935,124,247808,-0.011424531973898411,0.9694573264569044,0.6135645636823028,1200,0.2397773414850235,5e-05,-1.0728765966370701,0.0032960274,0.1310546875,0.1,,,
122,36.36,2000,24.397257370000005,124,249856,-0.010587263205525232,0.9706263821572065,0.8421981913037598,1210,0.2596851587295532,5e-05,-1.0259353203698993,0.0032944838,0.12060546875,0.1,,,
,,,,,250000,-0.010303324279084336,0.9533273875713348,0.8960467587225139,1220,0.1710725724697113,5e-05,-1.0291637839749455,0.002902382,0.116259765625,0.1,27.41983314961548,7.723378210316224,37.5
123,37.98,2004,23.349439090000004,125,251904,,,,,,,,,,,,,
124,38.49,2007,23.330820150000008,126,253952,-0.012431934059713967,0.958166066557169,0.8782261596061289,1230,0.18655864894390106,5e-05,-1.059467851370573,0.0034795697,0.135009765625,0.1,,,
125,37.71,2011,23.35949319,127,256000,-0.009758238644280937,0.9641824550926685,0.7306062422692776,1240,0.17088226974010468,5e-05,-1.0440139016136527,0.0033101828,0.12265625,0.1,,,
126,37.98,2014,24.36459402,128,258048,-0.009754598773724865,0.9549695551395416,0.9467352417297661,1250,0.21793033182621002,5e-05,-1.057677336409688,0.0030476237,0.116455078125,0.1,,,
,,,,,260000,-0.011198707405128516,0.9628867581486702,0.8268378890585154,1260,0.2264062911272049,5e-05,-1.042237640172243,0.0032909494,0.131298828125,0.1,25.50092614847047,7.4726230446788025,37.5
127,37.59,2018,24.865561499999995,128,260096,,,,,,,,,,,,,
128,38.55,2021,23.8806115,129,262144,-0.011108180186420213,0.956580176949501,1.031680206488818,1270,0.3775040805339813,5e-05,-1.048745346441865,0.0027467676,0.098095703125,0.1,,,
129,38.34,2024,24.845417479999995,130,264192,-0.012576725870894733,0.9560443721711636,0.7177980083972215,1280,0.2064354568719864,5e-05,-1.0435002211481332,0.003680229,0.135693359375,0.1,,,
130,37.83,2028,24.28802541,131,266240,-0.011378813530609478,0.9669360443949699,0.8469901015982032,1290,0.30444902181625366,5e-05,-1.0303342439234258,0.0029559922,0.12490234375,0.1,,,
131,38.01,2031,22.91598701,132,268288,-0.010098877376003656,0.9520803354680538,1.1031504197977484,1300,0.1925201267004013,5e-05,-0.9845021542161703,0.0023735333,0.097607421875,0.1,,,
,,,,,270000,-0.010345558848348447,0.9489882066845894,1.049355643708259,1310,0.22690953314304352,5e-05,-1.024049461632967,0.0029334058,0.105810546875,0.1,18.1991571406596,11.538002844698577,39.0
132,37.83,2035,23.633899429999996,132,270336,,,,,,,,,,,,,
