#{"t_start": 1706582451.810797, "env_id": "scheduler-mctsEnv"}
r,l,t
-3219.0,240,538.826734
-3220.0,240,541.581424
-3222.0,240,543.858011
-3221.0,240,546.17821
-3216.0,240,548.531829
-3219.0,240,550.658038
-3212.0,240,552.866876
-3225.0,240,555.15303
-3215.0,240,557.636158
-3221.0,240,560.52968
-3216.0,240,563.574034
-3216.0,240,566.162942
-3217.0,240,568.712076
-3214.0,240,571.074
-3218.0,240,573.605149
-3221.0,240,575.987786
-3213.0,240,578.454694
-3212.0,240,580.516989
-3217.0,240,583.286218
-3218.0,240,587.174016
-3213.0,240,589.8678
-3212.0,240,592.662491
-3218.0,240,596.144931
-3219.0,240,599.011511
-3217.0,240,602.190824
-3213.0,240,604.384028
-3219.0,240,606.49663
-3214.0,240,608.650013
-3214.0,240,611.359871
-3210.0,240,613.593147
-3219.0,240,615.90423
-3211.0,240,618.369455
-3216.0,240,620.420495
-3220.0,240,622.580347
-3214.0,240,624.739914
-3219.0,240,627.039059
-3217.0,240,629.551135
-3218.0,240,632.95766
-3218.0,240,635.629414
-3215.0,240,638.670723
-3217.0,240,641.243042
-3218.0,240,643.951129
-3219.0,240,646.390351
-3220.0,240,649.013705
-3212.0,240,651.527443
-3210.0,240,654.066927
-3220.0,240,656.549148
-3220.0,240,659.240289
-3216.0,240,661.640735
-3217.0,240,664.14419
-3216.0,240,666.740395
-3218.0,240,669.340202
-3222.0,240,671.707185
-3210.0,240,674.181666
-3210.0,240,676.771463
-3220.0,240,679.336635
-3223.0,240,681.926119
-3218.0,240,684.35819
-3215.0,240,686.865064
-3213.0,240,689.27455
-3221.0,240,692.355061
-3216.0,240,694.118328
-3217.0,240,695.887179
-3219.0,240,698.535392
-3219.0,240,700.826866
-3220.0,240,702.944269
-3219.0,240,705.015506
-3214.0,240,706.996989
-3214.0,240,709.046914
-3212.0,240,710.998557
-3219.0,240,714.160707
-3214.0,240,716.482067
-3220.0,240,718.77879
-3213.0,240,720.941774
-3218.0,240,722.966384
-3214.0,240,725.555166
-3222.0,240,728.157267
-3211.0,240,730.083622
-3217.0,240,731.878803
-3219.0,240,733.837964
-3213.0,240,735.626037
-3218.0,240,737.842261
-3219.0,240,739.783391
-3220.0,240,741.615506
-3223.0,240,743.474353
-3217.0,240,745.487214
-3216.0,240,747.71863
-3218.0,240,749.776158
-3217.0,240,751.686997
-3211.0,240,753.665112
-3208.0,240,755.739748
-3217.0,240,758.132275
-3218.0,240,760.085989
-3218.0,240,761.974797
-3213.0,240,763.688478
-3216.0,240,765.84089
-3222.0,240,767.868378
-3215.0,240,769.794964
-3215.0,240,772.01158
