time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,train/learning_rate,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/loss,train/clip_range,train/clip_fraction,train/value_loss,eval/mean_ep_length,eval/mean_reward
154,16,0.5962851100000001,65536,424,93.78,0.00027454683248171916,150,-3.029518035054207,-0.022625887277536096,0.008722514,0.41907793,2.7454001903533936,0.1,0.30849609375,17.615547831356526,,
164,17,-0.4776884399999996,69632,424,92.56,0.00027290491392099333,160,-3.043973146378994,-0.024689879349898546,0.006890634,0.41018343,2.058347702026367,0.1,0.35791015625,17.328373724222182,,
173,18,-2.1097536399999997,73728,424,93.72,0.0002712697069040671,170,-3.051353396475315,-0.023467005068960135,0.005410934,0.54903936,6.619072437286377,0.1,0.281494140625,28.867555499076843,,
183,19,0.23032996999999958,77824,424,92.79,0.0002696411839966808,180,-3.0322619885206223,-0.026875336552620865,0.00545023,0.4818923,3.1429946422576904,0.1,0.3098388671875,25.32076844573021,,
,,,81920,,,0.00026801931787671566,190,-3.020905140042305,-0.02510785193007905,0.00702358,0.51601243,1.7646920680999756,0.1,0.34228515625,18.086561347544194,85.4,9.123710805177689
193,20,2.1192356699999992,81920,423,92.23,,,,,,,,,,,,
203,21,3.7225307499999998,86016,423,93.46,0.0002664040813337357,200,-3.033608701825142,-0.023811251733422977,0.0064585377,0.45784616,6.009404182434082,0.1,0.328076171875,24.12269492149353,,
212,22,3.59143985,90112,423,93.31,0.00026479544726853006,210,-3.0372645422816276,-0.02356271421595011,0.008215844,0.5404974,1.3474137783050537,0.1,0.335595703125,13.766040906310081,,
222,23,2.3707471499999997,94208,423,93.37,0.0002631933886926602,220,-3.012864501774311,-0.02509458879940212,0.007977841,0.48386902,10.026139259338379,0.1,0.356103515625,15.474888180196285,,
232,24,2.67673268,98304,423,94.87,0.0002615978787280057,230,-3.0353278905153274,-0.025684353479300627,0.0073525216,0.5870342,10.135895729064941,0.1,0.333251953125,16.734470242261885,,
241,25,5.136733379999999,102400,423,92.79,0.00026000889060631384,240,-3.039795292913914,-0.02393951403500978,0.0058532115,0.5547694,3.854785442352295,0.1,0.3105712890625,21.70764447748661,,
251,26,6.6649327000000005,106496,423,92.88,0.00025842639766875044,250,-3.0028200149536133,-0.025512089973199183,0.0071052057,0.61064017,7.790142059326172,0.1,0.3248046875,15.490309047698975,,
261,27,4.301514630000001,110592,423,93.61,0.0002568503733654527,260,-3.0513142466545107,-0.025964938617835286,0.010202012,0.52965343,2.1244750022888184,0.1,0.37158203125,11.683105665445328,,
