#{"t_start": 1708867091.162892, "env_id": "scheduler-customEnv"}
r,l,t
-33.265625,146,0.314925
-71.6018,222,0.43892
-48.962066,198,0.547453
-70.766694,228,0.679464
-84.890227,252,0.829335
-28.020157,134,0.906342
-22.177009,148,0.991923
-61.524572,233,1.12866
-48.13477,179,1.232152
-55.3619,193,1.344191
-42.892584,174,9.119423
-28.007629,154,9.232455
-53.95746,183,9.363397
-75.610998,244,9.50363
-43.688311,165,9.595319
-74.795286,216,9.723934
-65.225144,215,9.848316
-22.57601,135,9.916712
-73.338341,246,10.053786
-74.30102,229,10.185598
-63.967065,202,10.299366
-79.859045,244,16.198074
-44.697343,172,16.306431
-35.80882,151,16.388083
-49.806156,177,16.491699
-70.82049,227,16.623209
-80.941398,245,16.766892
-89.775314,266,16.918467
-36.406441,155,17.003163
-26.193779,127,17.07552
-41.245896,160,17.167966
-87.902974,255,24.86818
-62.466574,202,25.015547
-61.772059,210,25.133289
-48.845818,173,25.228798
-40.805193,164,25.322947
-79.992027,242,25.461862
-93.959431,271,25.621842
-28.598481,136,25.697049
-87.601071,257,25.84389
-66.526055,225,25.970082
-45.678205,174,33.3307
-42.570229,179,33.462632
-64.595393,214,33.587664
-24.541513,131,33.66056
-38.918203,153,33.74255
-50.737351,203,33.859217
-47.825454,172,33.955218
-78.286561,235,34.086425
-26.325798,150,34.169518
-33.237794,153,34.25754
-56.439633,191,34.369836
-49.246017,178,40.351963
-77.654418,236,40.530525
-34.723569,147,40.622495
-93.330358,268,40.777995
-17.616545,136,40.854021
-24.908204,136,40.929206
-52.341868,182,41.03574
-34.871528,176,41.136384
-20.041826,132,41.204979
-60.903613,201,41.323389
-30.132291,166,41.413264
-93.805586,277,49.779329
-33.693128,142,49.907404
-59.253568,192,50.028478
-46.512448,171,50.127653
-36.412181,153,50.211945
-39.159304,153,50.297761
-72.721006,237,50.435641
-15.628957,118,50.502889
-62.023577,207,50.62282
-50.512007,177,50.718819
-50.530116,178,50.822121
-15.526523,119,50.889645
-42.441152,164,57.185605
-59.543468,199,57.333976
-29.396803,150,57.436673
-11.874109,105,57.494938
-54.44546,192,57.604692
-59.303405,190,57.716898
-47.964574,187,57.823191
-15.35391,123,57.890647
-45.220386,168,57.98947
-8.502046,106,58.047077
-26.985013,152,58.133926
-25.948208,128,58.204926
-57.489282,218,58.328148
-51.836355,215,65.118374
-16.814434,127,65.217241
-38.924719,159,65.32441
-45.238617,162,65.415404
-41.487594,164,65.510067
-32.608488,145,65.591087
-54.904675,189,65.702112
-35.48848,153,65.786161
-28.902159,154,65.873848
-22.692012,131,65.944202
-47.55,178,66.048323
-20.814314,128,66.122953
-48.122456,171,66.222764
-45.219199,167,75.129936
-35.486221,146,75.223231
-24.652621,137,75.329079
-10.765677,121,75.398937
-14.880343,112,75.463203
-23.528065,123,75.532193
-43.358759,177,75.633902
-58.03075,191,75.739205
-41.324576,158,75.826311
-8.965593,106,75.889551
-34.521727,164,75.987445
-21.093878,140,76.066765
-24.360464,121,76.131867
-43.351003,170,76.229608
-35.718433,156,84.21331
-19.383307,127,84.308149
-24.015996,127,84.397613
-16.288734,114,84.478454
-19.26618,111,84.543013
-36.189709,152,84.626638
-26.85614,129,84.700439
-1.766133,98,84.754211
-16.185686,117,84.818803
-43.513695,177,84.918296
-6.337633,100,84.973369
-7.99553,96,85.026551
-48.592232,176,85.131581
-46.864335,195,85.242379
-11.995501,103,85.296963
-6.264688,110,85.358021
-12.414533,109,93.174451
-31.490594,141,93.287612
-83.498777,259,93.453077
-26.063424,142,93.534409
-39.005864,165,93.630022
-29.594965,148,93.715206
-38.10001,154,93.801683
-51.37061,179,93.903736
-29.212457,131,93.978588
-21.17469,119,94.044273
-19.600111,123,94.111954
-48.195323,178,94.212139
-20.779402,141,94.292667
-18.188385,130,100.940832
6.050632,70,101.000019
-43.470573,161,101.111697
-12.80969,129,101.197114
-57.851391,194,101.308164
-8.348337,108,101.368199
-21.108959,122,101.434377
-39.944788,156,101.522989
-19.425541,115,101.588592
-9.985292,105,101.648055
-9.394763,105,101.711119
-20.236643,122,101.784876
-31.071621,142,101.865755
-26.762227,148,101.950941
-24.063227,126,102.022593
-6.926857,109,102.083248
-24.151481,123,109.277757
-29.695709,141,109.38635
-50.666648,193,109.523327
-24.980164,117,109.589609
-25.299428,131,109.666185
-21.164544,130,109.741217
-26.323773,132,109.817735
-22.74176,130,109.893104
-21.689244,127,109.967354
-7.366069,111,110.031749
