#{"t_start": 1708771058.271154, "env_id": "scheduler-customEnv"}
r,l,t
-65.116212,210,0.540656
-118.578272,332,0.747692
-26.715876,144,0.828472
-63.706551,208,0.936596
-4.999112,100,0.988157
-123.741315,325,1.173178
-81.390854,251,1.318086
-13.209416,128,1.384116
-159.395225,394,11.599824
-42.805313,167,11.751356
-52.643635,189,11.885713
-24.354792,135,11.965938
-33.547448,154,12.054466
-40.366171,169,12.153727
-41.534176,169,12.243296
-45.449656,163,12.340078
-67.707085,216,12.462626
-26.231429,144,12.542634
-49.83297,179,12.644546
-44.666373,170,12.748155
-65.365177,208,21.260895
-35.616223,168,21.371801
-46.444564,184,21.503247
-70.17623,217,21.626521
-77.240683,253,21.772103
-53.351765,191,21.8883
-52.403172,191,21.997484
-25.349784,130,22.075626
-47.806335,170,22.17519
-30.068468,138,22.258143
-87.123895,251,22.40309
-44.521055,159,29.317594
-66.158223,203,29.499103
-41.611755,173,29.599741
-26.712654,133,29.671802
-77.03747,231,29.808632
-94.658324,272,29.975536
-32.574411,154,30.06456
-71.720711,230,30.202306
-20.363353,123,30.27251
-54.492442,203,30.394595
-40.643364,164,30.490352
-75.050663,234,39.393552
-36.056161,169,39.533407
-10.624216,98,39.593448
-19.430653,138,39.671135
-18.776408,114,39.730173
-45.781704,173,39.828721
-86.115139,244,39.971217
-68.181516,245,40.115463
-36.426215,158,40.20403
-54.931965,192,40.31344
-43.437727,191,40.412486
-26.514375,141,40.487223
-21.092785,125,49.944426
-30.909197,168,50.093309
-80.620615,252,50.249884
-83.361708,274,50.405413
-38.895169,155,50.488266
-36.377686,153,50.574154
-91.312741,275,50.729828
-50.313379,188,50.833096
-44.232876,178,50.933161
-60.414227,201,51.047167
-70.314758,221,59.463947
-31.229396,142,59.564813
-23.131712,141,59.692124
-45.501264,170,59.78917
-50.077846,190,59.900998
-38.876514,180,60.005483
-66.089146,220,60.128609
-65.497536,207,60.247386
-38.04555,156,60.340829
-46.823825,192,60.453334
-36.596358,164,60.55043
-36.569794,172,60.651942
-50.831549,193,70.350189
-67.636884,215,70.515035
-71.086247,221,70.639468
-18.59304,121,70.707582
-54.743293,211,70.82484
-45.817704,183,70.926365
-31.321339,147,71.011292
-34.897208,147,71.090752
-18.555507,130,71.161386
-51.225918,189,71.268272
-9.850136,111,71.327541
-48.198728,186,71.430693
-17.367307,126,80.198158
-41.308354,157,80.359308
-28.731197,140,80.447232
-15.043691,111,80.511451
-35.318973,176,80.612505
-61.241837,197,80.723598
-96.459029,288,80.895261
-56.000379,193,81.004974
-33.132144,148,81.092636
-40.755118,161,81.182186
-11.334901,97,81.235871
-16.634479,118,81.304142
-12.322022,103,81.360872
-14.747222,124,90.716511
-41.380456,163,90.838647
-20.381175,117,90.919951
-4.338765,112,90.983056
-29.844696,154,91.067584
-20.690841,126,91.13894
-11.483603,141,91.215884
-40.178967,161,91.306507
-29.893677,131,91.380399
-37.887245,160,91.47177
-21.171428,125,91.542578
-12.578733,109,91.600906
-45.606338,174,91.700526
-47.966032,171,91.802451
-24.020852,129,91.87639
-7.348989,106,98.188425
5.216561,101,98.260376
-44.221693,172,98.372863
-49.613937,182,98.505655
-54.703472,189,98.616809
-32.725243,152,98.703223
-52.898823,179,98.808956
-40.983834,173,98.910152
-8.059996,102,98.967777
-18.307641,118,99.035046
-16.43335,119,99.100456
-71.796875,240,99.244731
-14.384862,106,99.305326
-21.78713,126,104.922385
-8.400017,100,104.984605
-30.170679,144,105.098216
-17.00373,115,105.178667
-3.391787,87,105.228892
-28.154297,132,105.327668
-31.964373,138,105.409998
-29.21479,135,105.486829
-7.88554,98,105.543064
-11.837461,102,105.60162
-38.093476,152,105.694762
-25.541085,134,105.770307
-7.541681,111,105.832258
-30.73562,150,105.918997
-26.354746,127,105.988244
-57.060908,193,106.099883
-30.694122,147,111.600128
-37.073751,146,111.70382
-69.645726,238,111.866479
-20.49843,118,111.93255
-15.486474,121,112.000559
-27.98507,138,112.085945
-27.747228,136,112.162991
-13.3328,122,112.227904
-42.285304,165,112.329198
-49.044063,182,112.436263
-61.208981,196,112.544165
-34.778597,158,112.642797
-32.321883,148,112.739987
-18.062645,119,112.809402
-27.364778,131,119.187205
-13.56681,115,119.271676
