global_step,CR/idle_time,CR/idle_time_cost,CR/makespan,CR/makespan_cost,CR/processing_time,CR/tard_cost,CR/total_cost,CR/total_tardiness,ETD/idle_time,ETD/idle_time_cost,ETD/makespan,ETD/makespan_cost,ETD/processing_time,ETD/tard_cost,ETD/total_cost,ETD/total_tardiness,FDD_over_MWKR/idle_time,FDD_over_MWKR/idle_time_cost,FDD_over_MWKR/makespan,FDD_over_MWKR/makespan_cost,FDD_over_MWKR/processing_time,FDD_over_MWKR/tard_cost,FDD_over_MWKR/total_cost,FDD_over_MWKR/total_tardiness,LWKR_MOD/idle_time,LWKR_MOD/idle_time_cost,LWKR_MOD/makespan,LWKR_MOD/makespan_cost,LWKR_MOD/processing_time,LWKR_MOD/tard_cost,LWKR_MOD/total_cost,LWKR_MOD/total_tardiness,LWKR_SPT/idle_time,LWKR_SPT/idle_time_cost,LWKR_SPT/makespan,LWKR_SPT/makespan_cost,LWKR_SPT/processing_time,LWKR_SPT/tard_cost,LWKR_SPT/total_cost,LWKR_SPT/total_tardiness,MWKR/idle_time,MWKR/idle_time_cost,MWKR/makespan,MWKR/makespan_cost,MWKR/processing_time,MWKR/tard_cost,MWKR/total_cost,MWKR/total_tardiness,PPO/idle_time,PPO/idle_time_cost,PPO/makespan,PPO/makespan_cost,PPO/processing_time,PPO/tard_cost,PPO/total_cost,PPO/total_tardiness
13,300,3.0,2200,220.0,5600,130.0,465.0,2600,900,9.0,2400,240.0,5600,15.0,376.0,300,0,0.0,2200,220.0,5600,235.0,567.0,4700,600,6.0,2300,230.0,5600,60.0,408.0,1200,900,9.0,2400,240.0,5600,75.0,436.0,1500,300,3.0,2200,220.0,5600,170.0,505.0,3400,500,5.0,2200,220.0,5600,25.0,362.0,500
14,0,0.0,2700,270.0,6900,315.0,723.0,6300,700,7.0,2900,290.0,6900,115.0,550.0,2300,0,0.0,2700,270.0,6900,480.0,888.0,9600,500,5.0,2800,280.0,6900,155.0,578.0,3100,700,7.0,3100,310.0,6900,300.0,755.0,6000,0,0.0,2700,270.0,6900,480.0,888.0,9600,100,1.0,2700,270.0,6900,60.0,469.0,1200
15,0,0.0,2100,210.0,5500,170.0,490.0,3400,600,6.0,2300,230.0,5500,55.0,401.0,1100,0,0.0,2100,210.0,5500,250.0,570.0,5000,200,2.0,2100,210.0,5500,75.0,397.0,1500,900,9.0,2500,250.0,5500,100.0,469.0,2000,100,1.0,2100,210.0,5500,225.0,546.0,4500,200,2.0,2100,210.0,5500,40.0,362.0,800
16,200,2.0,2500,250.0,6300,110.0,488.0,2200,1300,13.0,3000,300.0,6300,10.0,449.0,200,0,0.0,2500,250.0,6300,270.0,646.0,5400,400,4.0,2500,250.0,6300,35.0,415.0,700,1800,18.0,3200,320.0,6300,110.0,574.0,2200,500,5.0,2500,250.0,6300,250.0,631.0,5000,700,7.0,2500,250.0,6300,0.0,383.0,0
17,0,0.0,2600,260.0,7400,365.0,773.0,7300,1200,12.0,3000,300.0,7400,170.0,630.0,3400,0,0.0,2600,260.0,7400,575.0,983.0,11500,700,7.0,2800,280.0,7400,205.0,640.0,4100,1600,16.0,3100,310.0,7400,365.0,839.0,7300,0,0.0,2600,260.0,7400,575.0,983.0,11500,0,0.0,2600,260.0,7400,100.0,508.0,2000
18,0,0.0,2500,250.0,7200,350.0,744.0,7000,500,5.0,2700,270.0,7200,100.0,519.0,2000,0,0.0,2500,250.0,7200,510.0,904.0,10200,200,2.0,2500,250.0,7200,190.0,586.0,3800,500,5.0,2700,270.0,7200,340.0,759.0,6800,0,0.0,2500,250.0,7200,510.0,904.0,10200,100,1.0,2500,250.0,7200,55.0,450.0,1100
19,0,0.0,2700,270.0,7700,450.0,874.0,9000,200,2.0,2900,290.0,7700,165.0,611.0,3300,0,0.0,2700,270.0,7700,620.0,1044.0,12400,200,2.0,2800,280.0,7700,230.0,666.0,4600,200,2.0,2800,280.0,7700,295.0,731.0,5900,0,0.0,2700,270.0,7700,620.0,1044.0,12400,100,1.0,2800,280.0,7700,85.0,520.0,1700
20,100,1.0,1700,170.0,4400,40.0,299.0,800,700,7.0,2000,200.0,4400,15.0,310.0,300,0,0.0,1700,170.0,4400,150.0,408.0,3000,400,4.0,1800,180.0,4400,55.0,327.0,1100,1000,10.0,2200,220.0,4400,115.0,433.0,2300,0,0.0,1700,170.0,4400,150.0,408.0,3000,400,4.0,1800,180.0,4400,20.0,292.0,400
21,200,2.0,3000,300.0,7800,395.0,853.0,7900,1500,15.0,3500,350.0,7800,135.0,656.0,2700,0,0.0,3000,300.0,7800,580.0,1036.0,11600,600,6.0,3200,320.0,7800,210.0,692.0,4200,800,8.0,3300,330.0,7800,275.0,769.0,5500,100,1.0,3000,300.0,7800,590.0,1047.0,11800,300,3.0,3000,300.0,7800,75.0,534.0,1500
22,0,0.0,2400,240.0,6800,325.0,701.0,6500,700,7.0,2700,270.0,6800,160.0,573.0,3200,0,0.0,2400,240.0,6800,510.0,886.0,10200,300,3.0,2500,250.0,6800,235.0,624.0,4700,600,6.0,2600,260.0,6800,345.0,747.0,6900,0,0.0,2400,240.0,6800,510.0,886.0,10200,100,1.0,2400,240.0,6800,100.0,477.0,2000
